SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	CANCER_TYPE	AGE	GENDER	MORPHOLOGY	HISTOLOGY	SOURCE	CYTOGENETIC_ANALYSIS	TP53_MUTATION
NCI_H322M		REPLICATE		Non-Small Cell Lung	52	MALE	EPITHELIAL	Small cell Bronchioalveolar Carcinoma		2n+/-|| Near-diploid 46+/- (35-57)	MUTANT
NCI_H460		REPLICATE		Non-Small Cell Lung		MALE	EPITHELIAL	Large Cell Carcinoma-ud	Pleural effusion	2n+/-|| Near-diploid 46+/- (35-57)	WT
NCI_H522		REPLICATE		Non-Small Cell Lung		MALE	EPITHELIAL	Adenocarcinoma-vpd		2n+/-|| Near-diploid 46+/- (35-57)	MUTANT
IGROV1		REPLICATE		Ovarian	47	FEMALE	EPITHELIAL	Cystoadenocarcinoma-pd		4n+/-|| Near-tetraploid 92+/- (81-103)	MUTANT
OVCAR_3		REPLICATE		Ovarian	60	FEMALE	EPITHELIAL	Adenocarcinoma-md	Ascites	3n+/-|| Near-triploid 69+/- (58-80)	MUTANT
OVCAR_4		REPLICATE		Ovarian	42	FEMALE	EPITHELIAL	Adenocarcinoma-md		3n+/-|| Near-triploid 69+/- (58-80)	WT
OVCAR_5		REPLICATE		Ovarian	67	FEMALE	EPITHELIAL	Adenocarcinoma-wd		2n+|| Hyperdiploid (47-57)	MUTANT
OVCAR_8		REPLICATE		Ovarian	64	FEMALE	EPITHELIAL	Carcinoma-ud		2n+|| Hyperdiploid (47-57)	MUTANT
SK_OV_3		REPLICATE		Ovarian	64	FEMALE	EPITHELIAL	Adenocarcinoma-vpd	Ascites	4n+/-|| Near-tetraploid 92+/- (81-103)	
NCI_ADR_RES		REPLICATE		Ovarian		FEMALE	EPITHELIAL	Adenocarinoma		2n+/-|| Near-diploid 46+/- (35-57)	MUTANT
PC_3		REPLICATE		Prostate	62	MALE	EPITHELIAL	Adenocarcinoma- prostate|| metastatic site: bone||		4n|| Tetraploid (92)	MUTANT
DU_145		REPLICATE		Prostate	69	MALE	EPITHELIAL	prostate|| metastatic site: brain|| carcinoma (patient with metastatic carcinoma of the prostate and a 3 year history of lymphocytic leukemia.)	Metastasis	3n+/-|| Near-triploid 69+/- (58-80)	
786_0		REPLICATE		Renal	58	MALE	EPITHELIAL	Adenocarcinoma		4n+/-|| Near-tetraploid 92+/- (81-103)	MUTANT
A498		REPLICATE		Renal	52	FEMALE	EPITHELIAL	Adenocarcinoma		3n|| Triploid (69)	WT
ACHN		REPLICATE		Renal	22	MALE	EPITHELIAL	Renal cell carcinoma-p/md		2n+/-|| Near-diploid 46+/- (35-57)	WT
CAKI_1		REPLICATE		Renal	49	MALE	EPITHELIAL	Clear cell carcinoma	Metastasis	3n|| Triploid (69)	WT
RXF_393		REPLICATE		Renal	54	MALE	EPITHELIAL	hypernephroma-pd		3n+/-|| Near-triploid 69+/- (58-80)	MUTANT
SN12C		REPLICATE		Renal	43	MALE	EPITHELIAL	Renal cell carcinoma-pd		3n|| Triploid (69)	MUTANT
TK_10		REPLICATE		Renal	43	MALE	EPITHELIAL	Renal Spindle cell carcinoma		4n|| Tetraploid (92)	MUTANT
UO_31		REPLICATE		Renal		FEMALE	EPITHELIAL	Renal cell carcinoma-vpd		2n+/-|| Near-diploid 46+/- (35-57)	WT
