SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	PARENT_CELL_LINE	TAMOXIFEN_SENSITIVITY	TREATMENT	DRUG_17BETA_ESTRADIOL
TamR6_Control		REPLICATE	No timepoint	MCF-7	RESISTANT	UNTREATED	NO
TamR6_E2_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2	YES
TamR6_E2plusTamoxifen_24h		REPLICATE	24hr timepoint 	MCF-7	RESISTANT	E2_PLUS_TAMOXIFEN	YES
WT_E2_0h_rep1		REPLICATE	0hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_0h_rep2		REPLICATE	0hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_1h_rep1		REPLICATE	1hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_1h_rep2		REPLICATE	1hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_2h_rep1		REPLICATE	2hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_2h_rep2		REPLICATE	2hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_3h_rep1		REPLICATE	3hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_3h_rep2		REPLICATE	3hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_6h_rep1		REPLICATE	6hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_6h_rep2		REPLICATE	6hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_12h_rep1		REPLICATE	12hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_12h_rep2		REPLICATE	12hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_24h_rep1		REPLICATE	24hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_24h_rep2		REPLICATE	24hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_48h_rep1		REPLICATE	48hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_48h_rep2		REPLICATE	48hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_HRG_0h_rep1		REPLICATE	0hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_0h_rep2		REPLICATE	0hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_1h_rep1		REPLICATE	1hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_1h_rep2		REPLICATE	1hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_2h_rep1		REPLICATE	2hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_2h_rep2		REPLICATE	2hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_3h_rep1		REPLICATE	3hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_3h_rep2		REPLICATE	3hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_6h_rep1		REPLICATE	6hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_6h_rep2		REPLICATE	6hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_12h_rep1		REPLICATE	12hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_12h_rep2		REPLICATE	12hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_24h_rep1		REPLICATE	24hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_24h_rep2		REPLICATE	24hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_48h_rep1		REPLICATE	48hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_48h_rep2		REPLICATE	48hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_0h		REPLICATE	0hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_1h		REPLICATE	1hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_2h		REPLICATE	2hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_3h		REPLICATE	3hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_6h		REPLICATE	6hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_12h		REPLICATE	12hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_24h		REPLICATE	24hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRG_48h		REPLICATE	48hr timepoint	MCF-7	SENSITIVE	HRG	NO
WT_HRGplusTamoxifen_0h		REPLICATE	0hr timepoint	MCF-7	SENSITIVE	HRG_PLUS_TAMOXIFEN	NO
WT_HRGplusTamoxifen_1h		REPLICATE	1hr timepoint	MCF-7	SENSITIVE	HRG_PLUS_TAMOXIFEN	NO
WT_HRGplusTamoxifen_2h		REPLICATE	2hr timepoint	MCF-7	SENSITIVE	HRG_PLUS_TAMOXIFEN	NO
WT_HRGplusTamoxifen_3h		REPLICATE	3hr timepoint	MCF-7	SENSITIVE	HRG_PLUS_TAMOXIFEN	NO
WT_HRGplusTamoxifen_6h		REPLICATE	6hr timepoint	MCF-7	SENSITIVE	HRG_PLUS_TAMOXIFEN	NO
WT_HRGplusTamoxifen_12h		REPLICATE	12hr timepoint	MCF-7	SENSITIVE	HRG_PLUS_TAMOXIFEN	NO
WT_HRGplusTamoxifen_24h		REPLICATE	24hr timepoint	MCF-7	SENSITIVE	HRG_PLUS_TAMOXIFEN	NO
WT_HRGplusTamoxifen_48h		REPLICATE	48hr timepoint	MCF-7	SENSITIVE	HRG_PLUS_TAMOXIFEN	NO
WT_Tamoxifen_0h		REPLICATE	0hr timepoint	MCF-7	SENSITIVE	TAMOXIFEN	NO
WT_Tamoxifen_1h		REPLICATE	1hr timepoint	MCF-7	SENSITIVE	TAMOXIFEN	NO
WT_Tamoxifen_2h		REPLICATE	2hr timepoint	MCF-7	SENSITIVE	TAMOXIFEN	NO
WT_Tamoxifen_3h		REPLICATE	3hr timepoint	MCF-7	SENSITIVE	TAMOXIFEN	NO
WT_Tamoxifen_6h		REPLICATE	6hr timepoint	MCF-7	SENSITIVE	TAMOXIFEN	NO
WT_Tamoxifen_12h		REPLICATE	12hr timepoint	MCF-7	SENSITIVE	TAMOXIFEN	NO
WT_Tamoxifen_24h		REPLICATE	24hr timepoint	MCF-7	SENSITIVE	TAMOXIFEN	NO
WT_Tamoxifen_48h		REPLICATE	48hr timepoint	MCF-7	SENSITIVE	TAMOXIFEN	NO
WT_Control		REPLICATE	No timepoint	MCF-7	SENSITIVE	UNTREATED	NO
WT_E2_24h		REPLICATE	24hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2plusTamoxifen_24h		REPLICATE	24hr timepoint	MCF-7	SENSITIVE	E2_PLUS_TAMOXIFEN	YES
"WT_Tamoxifen_0h,_2"		REPLICATE	0hr timepoint	MCF-7	SENSITIVE	TAMOXIFEN	NO
WT_E2_0h		REPLICATE	0hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_1h		REPLICATE	1hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_2h		REPLICATE	2hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_3h		REPLICATE	3hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_6h		REPLICATE	6hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_12h		REPLICATE	12hr timepoint	MCF-7	SENSITIVE	E2	YES
"WT_E2_24h,_2"		REPLICATE	24hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2_48h		REPLICATE	48hr timepoint	MCF-7	SENSITIVE	E2	YES
WT_E2plusTamoxifen_0h		REPLICATE	0hr timepoint	MCF-7	SENSITIVE	E2_PLUS_TAMOXIFEN	YES
WT_E2plusTamoxifen_1h		REPLICATE	1hr timepoint	MCF-7	SENSITIVE	E2_PLUS_TAMOXIFEN	YES
WT_E2plusTamoxifen_2h		REPLICATE	2hr timepoint	MCF-7	SENSITIVE	E2_PLUS_TAMOXIFEN	YES
WT_E2plusTamoxifen_3h		REPLICATE	3hr timepoint	MCF-7	SENSITIVE	E2_PLUS_TAMOXIFEN	YES
WT_E2plusTamoxifen_6h		REPLICATE	6hr timepoint	MCF-7	SENSITIVE	E2_PLUS_TAMOXIFEN	YES
WT_E2plusTamoxifen_12h		REPLICATE	12hr timepoint	MCF-7	SENSITIVE	E2_PLUS_TAMOXIFEN	YES
"WT_E2plusTamoxifen_24h,_2"		REPLICATE	24hr timepoint	MCF-7	SENSITIVE	E2_PLUS_TAMOXIFEN	YES
WT_E2plusTamoxifen_48h		REPLICATE	48hr timepoint	MCF-7	SENSITIVE	E2_PLUS_TAMOXIFEN	YES
