original_name	conversion_note	short_name	long_name	definition	cdep	semantic_group	gdoc_preferred	caDSR_id	EVS_id	qualitative	continuous	vocabulary	oracle_datatype	unit	lower_range	upper_range
classification PTNM_N_POSITIVE	ATTRIBUTE_TYPE_ID=231	PTNM_N_POSITIVE	Lymph Nodes positive for cancer  (pTNM-N positive)	N_positive staging determines if the lymph nodes are positive for cancer in pTNM Classification	PATHOLOGY					0	0	0	NUMBER(2)		0	10
classification PTNM_N_TOTAL	ATTRIBUTE_TYPE_ID=232	PTNM_N_TOTAL	Total number of Lymph Node Involvement (pTNM-N total)	N_total determines the number of Lymph nodes involved in pTNM Classification	PATHOLOGY					0	0	0	NUMBER(2)		0	60
classification PTNM_M	ATTRIBUTE_TYPE_ID=233	PTNM_M	Presence of metastasis (pTNM-M)	   In pTNM Classification, M staging determines if the cancer has metastasized , or spread, beyond the lymph nodes into other parts of the body (also known as distant metastasis, or distant spreading)   	PATHOLOGY					1	0	1	VARCHAR2(5)			
classification PTNM_L	ATTRIBUTE_TYPE_ID=234	PTNM_L	Invasion into lymphatic vessels (pTNM-L)	Degree of invasion into the lymphatic vessels in pTNM Classification	PATHOLOGY					1	0	1	VARCHAR2(5)			
classification PTNM_V	ATTRIBUTE_TYPE_ID=235	PTNM_V	Invasion into vein (pTNM-V)	Degree of vascular invasion in pTNM Classification	PATHOLOGY					1	0	1	VARCHAR2(5)			
classification Stage	ATTRIBUTE_TYPE_ID=236	TUMOR_STAGE	The extent of the spread of a malignant tumor from its site of origin.	Tumor staging is the process of defining at what point in the natural history of the malignant disease the patient is when the diagnosis is made. The organ and cell type in which the malignancy has developed defines the type of malignancy.	PATHOLOGY					1	0	1	VARCHAR2(5)			
classification Radicality	new	RADICALITY	The radicality of the surgery indicating how much tissue was removed	The radicality of the surgery indicating how much tissue was removed	PATHOLOGY					1	0	1	VARCHAR(1)			
classification Tumor grade	ATTRIBUTE_TYPE_ID=198	ELSTON-ELLIS_GRADE	Elston-Ellis grade category	The histologic grade (Elston-Ellis) category	PATHOLOGY					1	0	1	VARCHAR(1)			
classification Dignity	ATTRIBUTE_TYPE_ID=237	TUMOR_DIGNITY	Benign or Malignant classification	Classification or grading of tumor as benign or Malignant	PATHOLOGY					1	0	1	VARCHAR2(10)			
FUP Metastases-Metastatis	new	METASTASIS_LOCATION	Metastatis Location	Location of metastasis	PATHOLOGY					1	0	1	VARCHAR2(10)			
FUP radiation	ATTRIBUTE_TYPE_ID=242	RADIATION	Radiation received	The patient received radiation	CLINICAL					1	0	1	VARCHAR2(3)			
FUP general patient data-Surgery to relapse or last follow up	ATTRIBUTE_TYPE_ID=193	SURGERY_TO_RECUR/FU_DAYS	Days between Surgery and Recurrence or Last Followup	The number of days between a patient's surgery and Recurrence or Last Followup.  Time of relapse free survival.	CLINICAL					0	0	0	   NUMBER(4,1)   	years	0	18250
FUP general patient data-Relapse free	ATTRIBUTE_TYPE_ID=196	RECURRENCE_ANY	Any Recurrence	The appearance of the signs and symptoms of malignancy after treatment and response to therapy	CLINICAL					1	0	1	VARCHAR2(3)			
FUP general patient data-Patient alive	ATTRIBUTE_TYPE_ID=121	VITAL_STATUS	Vital Status	  Vital Status: ALIVE, DEAD, UNKNOWN  	CLINICAL		0			1	0	1	VARCHAR2(7)			
Family history-relationship	new	RELATIONSHIP	Family history - Relationship with patient	Family history - Relationship with patient 	CLINICAL		0			1	0	1	VARCHAR2(20)			
Family history-alive	new	VITAL_STATUS_RELATIVE	Family history - Vital Status of relative	Family history - vital status of patient	CLINICAL		0			1	0	1	VARCHAR2(7)			
Family history-disease code	new	DISEASE_CODE_RELATIVE	Family history - Disease code of relative	Family history - Disease code of relative	CLINICAL					1	0	1	VARCHAR2(10)			
FUP Previous cancer -disease code	new	DISEASE_CODE_PREV_CANCER	Disease code of previous cancer in patient	Disease code of previous cancer in patient	CLINICAL					1	0	1	VARCHAR2(10)			
FUP Previous cancer- remission	new	PREV_CANCER_REMISSION	Remission status of previous cancer of patient 	Remission status of previous cancer of patient 	CLINICAL					1	0	1	VARCHAR2(10)			
FUP Previous cancer -treatment	new	PREV_CANCER_TREATMENT	Treatment received for previous cancer of patient	Treatment received for previous cancer of patient	CLINICAL					1	0	1	VARCHAR2(20)			
FUP chemotherapies-agent	new	FUP_CT_AGENT	Follow up chemotherapy agent	Agent used in the Follow up chemotherapy for patient	CLINICAL					1	0	1	VARCHAR2(20)			
Timepoint	ATTRIBUTE_TYPE_ID=413	TIMEPOINT	Timepoint	Timepoint during which biospecimen was obtained	CLINICAL					1	0	1	VARCHAR2(10)			
Source	ATTRIBUTE_TYPE_ID=414	SOURCE	Source	Source of biospecimen	PATHOLOGY					1	0	1	VARCHAR2(30)			
