SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	ALTERNATE_NAME	AGE	GENDER	RACE	CANCER_TYPE	SAMPLE_LOCATION	SOURCE	CELL_CULTURE_PROPERTIES	MORPHOLOGY	BLOOD_TYPE	RH_TYPE	YEAR_OF_ORIGIN	TUMORIGENIC	ER_STATUS	PGR_STATUS	PLOIDY	PRIOR_TREATMENT	HIST_TUMOR_TYPE	HIST_TUMOR_GRADE	TP53_MUTATION	MULTIPLE_DRUG_RESISTANCE	DOUBLING_TIME
HCC_2998		REPLICATE						Colon	COLON			EPITHELIAL							"2n+/-, Near-diploid 46+/- (35-57)"		Carcinoma		MUTANT	"""-5"""	31.5
HCT_15		REPLICATE		CCL-225		M		Colon	COLON		ADHERENT	EPITHELIAL				YES			"2n+/-, Near-diploid 46+/- (35-57)"	None	Adenocarcinoma	PMD		"""414"""	20.6
HT29		REPLICATE		HTB-38	44	F	CAUCASIAN	Colon	COLON	Primary	ADHERENT	EPITHELIAL	A	POSITIVE	1964	YES			"3n+/-, Near-triploid 69+/- (58-80)"	None	Adenocarcinoma	MODERATELY_DIFF	MUTANT	"""15"""	19.5
KM12		REPLICATE						Colon	COLON			EPITHELIAL							"2n+/-, Near-diploid 46+/- (35-57)"	None	Adenocarcinoma	POORLY_DIFF	MUTANT	"""-19"""	23.7
SW_620		REPLICATE		CCL-227	51	M	CAUCASIAN	Colon	COLON	Derived from metastatic site; lymph node	ADHERENT	EPITHELIAL				YES			"2n+/-, Near-diploid 46+/- (35-57)"		Carcinoma	UNDIFF	MUTANT	"""31"""	20.4
A549		REPLICATE		CCL-185	58	M	CAUCASIAN	Non-Small Cell Lung	LUNG		ADHERENT	EPITHELIAL			1972				"3n+/-, Near-triploid 69+/- (58-80)"		Adenocarcinoma	PMD	WT	"""10"""	22.9
EKVX		REPLICATE				M		Non-Small Cell Lung	LUNG			EPITHELIAL							"3n+/-, Near-triploid 69+/- (58-80)"		Adenocarcinoma	MODERATELY_DIFF	MUTANT	"""-9"""	43.6
HOP_62		REPLICATE			60	F		Non-Small Cell Lung	LUNG			EPITHELIAL							"4n+, Hypertetraploid (93-103)"	None	Adenocarcinoma	UNDIFF	MUTANT	"""61"""	39
HOP_92		REPLICATE			62	M		Non-Small Cell Lung	LUNG			EPITHELIAL							"4n+/-, Near-tetraploid 92+/- (81-103)"	None	Large Cell Carcinoma	UNDIFF	MUTANT	"""-4"""	79.5
NCI_H226		REPLICATE		CRL-5826		M		Non-Small Cell Lung	LUNG		ADHERENT	EPITHELIAL			1980				"3n, Triploid (69)"	None (Non-Smoker)	Squamous cell carcinoma-Vulvar Paget's Disease		MUTANT	"""7"""	61
NCI_H23		REPLICATE		CRL-5800	51	M	BLACK	Non-Small Cell Lung	LUNG		ADHERENT	EPITHELIAL							"2n+, Hyperdiploid (47-57)"	None	Adenocarcinoma	UNDIFF	MUTANT	"""-2"""	33.4
NCI_H322M		REPLICATE			52	M		Non-Small Cell Lung	LUNG			EPITHELIAL							"2n+/-, Near-diploid 46+/- (35-57)"	None	Small cell Bronchioalveolar Carcinoma		MUTANT	"""-10"""	35.3
NCI_H460		REPLICATE		HTB-177		M		Non-Small Cell Lung	LUNG	Pleural effusion	ADHERENT	EPITHELIAL			1982	YES			"2n+/-, Near-diploid 46+/- (35-57)"		Large Cell Carcinoma	UNDIFF	WT	"""25"""	17.8
NCI_H522		REPLICATE		CRL-5810	58	M	CAUCASIAN	Non-Small Cell Lung	LUNG		ADHERENT||SINGLE CELLS AND LOOSELY ATTACHED CLUSTERS	EPITHELIAL							"2n+/-, Near-diploid 46+/- (35-57)"	None	Adenocarcinoma-Vulvar Paget's Disease		MUTANT	"""16"""	38.2
CCRF_CEM		REPLICATE		CCL-119	4	F	CAUCASIAN	Leukemia	PERIPHERAL BLOOD		SUSPENSION	NOT EPITHELIAL			1964	YES			"2n+/-, Near-diploid 46+/- (35-57)"	Rad||Mtx||Cyx	Acute Lymphoblastic Leukemia		MUTANT	"""35"""	26.7
HL_60		REPLICATE		CCL-240	36	F	CAUCASIAN	Leukemia	PERIPHERAL BLOOD LEUKOCYTES	Peripheral blood leukocytes	SUSPENSION	NOT EPITHELIAL				YES			"2n+/-, Near-diploid 46+/- (35-57)"	None	Pro myelocytic leukemia		MUTANT	"""-11"""	28.6
K_562		REPLICATE		CCL-243	53	F		Leukemia	BONE MARROW	Pleural effusion	SUSPENSION	NOT EPITHELIAL				YES			"3n-, Hypotriploid (58-68)"	Bisulfan||PiBr	Chronic Myelogenous Leukemia		MUTANT	"""-1"""	19.6
MOLT_4		REPLICATE		CRL-1582	19	M		Leukemia	T LYMPHOBLAST	Peripheral blood	SUSPENSION	NOT EPITHELIAL				YES			"4n, Tetraploid (92)"	VB||6MP||Pred	Acute Lymphoblastic Leukemia		WT	"""10"""	27.9
RPMI_8226		REPLICATE		CCL-155	61	M		Leukemia	PERIPHERAL BLOOD	Peripheral blood	SUSPENSION	NOT EPITHELIAL			1966				"3n-, Hypotriploid (58-68)"	None	Myeloma		WT	"""-3"""	33.5
SR		REPLICATE		CRL-2262	11	M	CAUCASIAN	Leukemia	LYMPHOBLAST		SUSPENSION	NOT EPITHELIAL							"2n+/-, Near-diploid 46+/- (35-57)"	None	Lymphoma			"""4"""	28.7
LOXIMVI		REPLICATE			58	M		Melanoma	MELANOMA			NOT EPITHELIAL							"3n+/-, Near-triploid 69+/- (58-80)"	None	Malignant amelanotic melanoma		WT	"""12"""	20.5
M14		REPLICATE						Melanoma	MELANOMA			NOT EPITHELIAL							"3n+/-, Near-triploid 69+/- (58-80)"		Melanotic melanoma		MUTANT	"""14"""	26.3
MALME_3M		REPLICATE		HTB-64	43	M	CAUCASIAN	Melanoma	LUNG	Metastasis	MIXED||ADHERENT AND SUSPENSION	NOT EPITHELIAL				YES			"4n+/-, Near-tetraploid 92+/- (81-103)"		Malignant melanotic melanoma		WT	"""22"""	46.2
MDA_MB_435		REPLICATE			31	F		Melanoma	MELANOMA	"Melanocytes, Pleural effusion"		NOT EPITHELIAL					NEGATIVE	NEGATIVE	"2n+, Hyperdiploid (47-57)"		Ductal carcinoma		MUTANT	"""20"""	25.8
MDA_N		REPLICATE			31	F		Melanoma	MELANOMA	Pleural effusion		NOT EPITHELIAL									Ductal carcinoma		MUTANT	"12"""	22.5
SK_MEL_2		REPLICATE		HTB-68	60	M	CAUCASIAN	Melanoma	MELANOMA	Metastasis	ADHERENT	NOT EPITHELIAL	A	POSITIVE		YES			"4n-, Hypotetraploid (81-91)"	None	Malignant melanotic melanoma		WT	"""14"""	45.5
SK_MEL_28		REPLICATE		HTB-72	51	M		Melanoma	MELANOMA		ADHERENT	NOT EPITHELIAL	A	POSITIVE		YES			"4n-, Hypotetraploid (81-91)"	None	Malignant melanotic melanoma		MUTANT	"""11"""	35.1
SK_MEL_5		REPLICATE		HTB-70	24	F	CAUCASIAN	Melanoma	SKIN	"Metastasis, Axillary node"	ADHERENT	NOT EPITHELIAL	O	POSITIVE		YES			"4n+, Hypertetraploid (93-103)"	None	Malignant melanotic melanoma		WT	"""12"""	25.2
UACC_257		REPLICATE						Melanoma	MELANOMA			NOT EPITHELIAL							"3n+, Hypertriploid (70-80)"		Melanotic melanoma		WT	"""26"""	38.5
UACC_62		REPLICATE						Melanoma	MELANOMA			NOT EPITHELIAL							"3n+/-, Near-triploid 69+/- (58-80)"		Melanotic melanoma		WT	"""8"""	31.3
IGROV1		REPLICATE			47	F		Ovarian	OVARIAN			EPITHELIAL							"4n+/-, Near-tetraploid 92+/- (81-103)"	Rad	Cystoadenocarcinoma	POORLY_DIFF	MUTANT	"""20"""	31
OVCAR_3		REPLICATE		HTB-161	60	F	CAUCASIAN	Ovarian	OVARIAN	Ascites	ADHERENT	EPITHELIAL			1982	YES			"3n+/-, Near-triploid 69+/- (58-80)"	CyPh||CsPt||Adr	Adenocarcinoma	MODERATELY_DIFF	MUTANT	"""-12"""	34.7
OVCAR_4		REPLICATE			42	F		Ovarian	OVARIAN			EPITHELIAL							"3n+/-, Near-triploid 69+/- (58-80)"	CyPh||CsPt||Adr	Adenocarcinoma	MODERATELY_DIFF	WT	"""-4"""	41.4
OVCAR_5		REPLICATE			67	F		Ovarian	OVARIAN			EPITHELIAL							"2n+, Hyperdiploid (47-57)"	None	Adenocarcinoma	WELL_DIFF	MUTANT	"""13"""	48.8
OVCAR_8		REPLICATE			64	F		Ovarian	OVARIAN			EPITHELIAL							"2n+, Hyperdiploid (47-57)"	Ctx||Adr||CsPt||CyPh	Carcinoma	UNDIFF	MUTANT	"""7"""	26.1
NCI_ADR_RES		REPLICATE				F		Ovarian	OVARIAN			EPITHELIAL							"2n+/-, Near-diploid 46+/- (35-57)"		Adenocarcinoma		MUTANT	"""352"""	34
SK_OV_3		REPLICATE		HTB-77	64	F	CAUCASIAN	Ovarian	OVARY	Ascites	ADHERENT	EPITHELIAL	B	POSITIVE	1973	YES			"4n+/-, Near-tetraploid 92+/- (81-103)"	Thiotepa	Adenocarcinoma-Vulvar Paget's Disease			"""15"""	48.7
DU_145		REPLICATE		HTB-81	69	M	CAUCASIAN	Prostate	PROSTATE	Metastasis	ADHERENT	EPITHELIAL	O	POSITIVE		YES			"3n+/-, Near-triploid 69+/- (58-80)"	Androgen independent and unresposive to hormone therapy	Prostate;metastatic site:brain;lymphocytic leukemia			"""4"""	32.3
PC_3		REPLICATE		CRL-1435	62	M	CAUCASIAN	Prostate	PROSTATE		ADHERENT	EPITHELIAL				YES			"4n, Tetraploid (92)"		Adenocarcinoma		MUTANT	"""11"""	27.1
786_0		REPLICATE		CRL-1932	58	M	CAUCASIAN	Renal	RENAL		ADHERENT	EPITHELIAL				YES			"4n+/-, Near-tetraploid 92+/- (81-103)"	None	Adenocarcinoma		MUTANT	"""-44"""	22.4
A498		REPLICATE			52	F		Renal	RENAL			EPITHELIAL							"3n, Triploid (69)"		Adenocarcinoma		WT	"""78"""	66.8
ACHN		REPLICATE		CRL-1611	22	M	CAUCASIAN	Renal	KIDNEY		ADHERENT	EPITHELIAL			1979	YES			"2n+/-, Near-diploid 46+/- (35-57)"	Rad||VB||CCNU||Mto||Pred	Renal cell carcinoma	PMD	WT	"""120"""	27.5
CAKI_1		REPLICATE		HTB-46	49	M	CAUCASIAN	Renal	KIDNEY	Metastasis	ADHERENT	EPITHELIAL	O	NEGATIVE		YES			"3n, Triploid (69)"	Rad||HU||5FU||Mtx||Ctx	Clear cell carcinoma		WT	"""171"""	39
RXF_393		REPLICATE			54	M		Renal	KIDNEY			EPITHELIAL							"3n+/-, Near-triploid 69+/- (58-80)"	None	Hypernephroma	POORLY_DIFF	MUTANT	"""42"""	62.9
SN12C		REPLICATE			43	M		Renal	KIDNEY			EPITHELIAL							"3n, Triploid (69)"	None	Renal cell carcinoma	POORLY_DIFF	MUTANT	"""-86"""	29.5
TK_10		REPLICATE			43	M		Renal	KIDNEY			EPITHELIAL							"4n, Tetraploid (92)"	None	Renal Spindle cell carcinoma		MUTANT	"""-4"""	51.3
UO_31		REPLICATE				F		Renal	KIDNEY			EPITHELIAL							"2n+/-, Near-diploid 46+/- (35-57)"	None	Renal cell carcinoma-Vulvar Paget's Disease		WT	"""59"""	41.7
