TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION
CELL_CULTURE_PROPERTIES	SINGLE CELLS AND LOOSELY ATTACHED CLUSTERS	SINGLE CELLS AND LOOSELY ATTACHED CLUSTERS		Adherent culture with single cells and loosely attached. 
CELL_CULTURE_PROPERTIES	SUSPENSION	SUSPENSION		"Type of culture in which cells, or aggregates of cells, multiply while suspended in liquid medium."
MORPHOLOGY	EPITHELIAL	EPITHELIAL		Type of mammalian cells in culture based on their morphology
MORPHOLOGY	NOT EPITHELIAL	NOT EPITHELIAL		Not epithelial type of morphology. 
BLOOD_TYPE	O	O		Classification of blood based on the presence/absence of inherited antigenic substances on RBCs
BLOOD_TYPE	A	A		Classification of blood based on the presence/absence of inherited antigenic substances on RBCs
BLOOD_TYPE	B	B		Classification of blood based on the presence/absence of inherited antigenic substances on RBCs
RH_TYPE	POSITIVE	POSITIVE		RH factor positive (Antigen D)
RH_TYPE	NEGATIVE	NEGATIVE		RH factor negative (Antigen D)
TUMORIGENIC	NO	NO		Does not have a tendency or capabilty of developing tumor.
TUMORIGENIC	YES	YES		Has a tendency or capabilty of developing tumor.
ER_STATUS	NEGATIVE	NEGATIVE		Estrogen Receptor negative
ER_STATUS	POSITIVE	POSITIVE		Estrogen Receptor positive
PGR_STATUS	NEGATIVE	NEGATIVE		Progestrone receptor negative
PGR_STATUS	POSITIVE	POSITIVE		Progestrone receptor positive
PLOIDY	"3n+/-, Near-triploid 69+/- (58-80)"	"3n+/-, Near-triploid 69+/- (58-80)"		3n=3x23=69 chromosomes; +/- observed chromosome no. in cell was sometimes above avg (peak) val; 58-80:range of observed no. of chromosomes
PLOIDY	"2n+, Hyperdiploid (47-57)"	"2n+, Hyperdiploid (47-57)"		"2n+, Hyperdiploid (47-57)"
PLOIDY	"3n-, Hypotriploid (58-68)"	"3n-, Hypotriploid (58-68)"		"3n-, Hypotriploid (58-68)"
PLOIDY	"2n+, Hyperdiploid (47-57)"	"2n+, Hyperdiploid (47-57)"		"2n+, Hyperdiploid (47-57)"
PLOIDY	"5n+/-, Near-pentaploid 115+/- (104-126)"	"5n+/-, Near-pentaploid 115+/- (104-126)"		"5n+/-, Near-pentaploid 115+/- (104-126)"
PLOIDY	"4n+/-, Near-tetraploid 92+/- (81-103)"	"4n+/-, Near-tetraploid 92+/- (81-103)"		"4n+/-, Near-tetraploid 92+/- (81-103)"
PLOIDY	"2n-, Hypodiploid (35-45)"	"2n-, Hypodiploid (35-45)"		"2n-, Hypodiploid (35-45)"
PLOIDY	"3n, Triploid (69)"	"3n, Triploid (69)"		"3n, Triploid (69)"
PLOIDY	"2n+/-, Near-diploid 46+/- (35-57)"	"2n+/-, Near-diploid 46+/- (35-57)"		"2n+/-, Near-diploid 46+/- (35-57)"
PLOIDY	"4n+, Hypertetraploid (93-103)"	"4n+, Hypertetraploid (93-103)"		"4n+, Hypertetraploid (93-103)"
PLOIDY	"4n, Tetraploid (92)"	"4n, Tetraploid (92)"		"4n, Tetraploid (92)"
PLOIDY	"4n-, Hypotetraploid (81-91)"	"4n-, Hypotetraploid (81-91)"		"4n-, Hypotetraploid (81-91)"
PLOIDY	"3n+, Hypertriploid (70-80)"	"3n+, Hypertriploid (70-80)"		"3n+, Hypertriploid (70-80)"
PRIOR_TREATMENT	Rad	Rad		Priorly treated with radiation. 
PRIOR_TREATMENT	BCNU	BCNU		Priorly treated with Bis(chlorethyl)nitrosourea
PRIOR_TREATMENT	5FU	5FU		Priorly treated with 5-fluorouracil
PRIOR_TREATMENT	6MP	6MP		Priorly treated with 6-mercaptopurine
PRIOR_TREATMENT	HU	HU		Priorly treated with hydroxyurea
PRIOR_TREATMENT	None	None		Priorly treated with no drug. 
PRIOR_TREATMENT	None (Non-Smoker)	None (Non-Smoker)		Priorly treated with no drug and a non-smoker. 
PRIOR_TREATMENT	Mtx	Mtx		Priorly treated methotrexate.
PRIOR_TREATMENT	Ctx	Ctx		Priorly treated with Cytoxan.
PRIOR_TREATMENT	Bisulfan	Bisulfan		Priorly treated with bisulfan.
PRIOR_TREATMENT	PiBr	PiBr		Priorly treated with piprobromine.
PRIOR_TREATMENT	Pred	Pred		Priorly treated with prednisone. 
PRIOR_TREATMENT	VB	VB		Priorly treated with vinblastine.
PRIOR_TREATMENT	CyPh	CyPh		Priorly treated with cyclophosphamide  .
PRIOR_TREATMENT	CsPt	CsPt		Priorly treated with cisplatin.
PRIOR_TREATMENT	Adr	Adr		Priorly treated with Adriamycin.
PRIOR_TREATMENT	Thiotepa	Thiotepa		Priorly trated with thiotepa. 
PRIOR_TREATMENT	Androgen independent and unresposive to hormone therapy	Androgen independent and unresposive to hormone therapy		Androgen independent and unresposive to hormone therapy.
PRIOR_TREATMENT	Mto	Mto		Priorly treated with Mitoxantrone.
PRIOR_TREATMENT	CCNU	CCNU		Priorly treated with chloroethylecyclohexylnitrosourea.
HIST_TUMOR_TYPE	Papillary infiltrating ductal carcinoma-mammary gland; breast	Papillary infiltrating ductal carcinoma-mammary gland; breast		Carcinoma type of cancer. 
HIST_TUMOR_TYPE	Carcinosarcoma	Carcinosarcoma		A malignant tumor composed of a mixture of carcinomatous and sarcomatous elements.
HIST_TUMOR_TYPE	Adenocarcinoma	Adenocarcinoma		Cancer of an epithelium that originates in glandular tissue
HIST_TUMOR_TYPE	Infiltrating ductal carcinoma	Infiltrating ductal carcinoma		Also called 'invasive ductal carcinoma' refers to cancer that has broken through the wall of the milk duct and begun to invade the tissues of the breast.
HIST_TUMOR_TYPE	Glioblastoma	Glioblastoma		A fast-growing type of CNS tumor forming from glial (supportive) tissue of the brain & spinal cord
HIST_TUMOR_TYPE	Glial cell neoplasm	Glial cell neoplasm		"A tumor that grows from a glial cell, which is a supportive cell in the brain. "
HIST_TUMOR_TYPE	Astrocytoma	Astrocytoma		"A tumor that begins in the brain or spinal cord in small, star-shaped cells called astrocytes."
HIST_TUMOR_TYPE	Carcinoma-Vulvar Paget's Disease	Carcinoma-Vulvar Paget's Disease		
HIST_TUMOR_TYPE	Carcinoma	Carcinoma		Cancer that begins in the skin or in tissues that line or cover internal organs.
HIST_TUMOR_TYPE	Squamous cell carcinoma-Vulvar Paget's Disease	Squamous cell carcinoma-Vulvar Paget's Disease		A malignant neoplasm arising from squamous epithelial cells in association with the vulvar paget's disease
HIST_TUMOR_TYPE	Small cell Bronchioalveolar Carcinoma	Small cell Bronchioalveolar Carcinoma		A neuroendocrine carcinoma composed of small malignant cells affecting the lungs.
HIST_TUMOR_TYPE	Large Cell Carcinoma	Large Cell Carcinoma		"A malignant epithelial neoplasm composed of large, atypical cells."
HIST_TUMOR_TYPE	Adenocarcinoma-Vulvar Paget's Disease	Adenocarcinoma-Vulvar Paget's Disease		Cancer of an epithelium that originates in glandular tissue in association with the vulvar paget's disease. 
HIST_TUMOR_TYPE	Acute Lymphoblastic Leukemia	Acute Lymphoblastic Leukemia		"A progressive, proliferative disease of blood cells, originating from immature lymphoid cells"
HIST_TUMOR_TYPE	Pro myelocytic leukemia	Pro myelocytic leukemia		Cancer of the blood and bone marrow. 
HIST_TUMOR_TYPE	Chronic Myelogenous Leukemia	Chronic Myelogenous Leukemia		Chronic myelogenous leukemia (CML) is cancer that starts inside bone marrow.
HIST_TUMOR_TYPE	Acute Lymphoblastic Leukemia (cells were taken when patient was in relapse)	Acute Lymphoblastic Leukemia (cells were taken when patient was in relapse)		"A progressive, proliferative disease of blood cells, originating from immature lymphoid cells"
HIST_TUMOR_TYPE	Myeloma	Myeloma		Multiple myeloma is cancer that starts in the plasma cells in bone marrow.
HIST_TUMOR_TYPE	Lymphoma	Lymphoma		A malignant neoplasm composed of lymphocytes of B- or T/NK-cell phenotype.
HIST_TUMOR_TYPE	Malignant amelanotic melanoma	Malignant amelanotic melanoma		Amelanotic melanoma is a type of skin cancer in which the cells do not make melanin
HIST_TUMOR_TYPE	Melanotic melanoma	Melanotic melanoma		Skin cancer with dark pigmentation
HIST_TUMOR_TYPE	Malignant melanotic melanoma	Malignant melanotic melanoma		"Skin cancer is malignant, with dark pigmentation"
HIST_TUMOR_TYPE	Ductal carcinoma	Ductal carcinoma		The most common type of breast cancer. It begins in the cells that line the milk ducts in the breast
HIST_TUMOR_TYPE	Cystoadenocarcinoma	Cystoadenocarcinoma		A malignant cystic epithelial neoplasm arising from glandular epithelium
HIST_TUMOR_TYPE	Prostate; metastatic site: brain; carcinoma (3 year history of lymphocytic leukemia.)	Prostate; metastatic site: brain; carcinoma (3 year history of lymphocytic leukemia.)		Cancer that forms in tissues of the prostate.
HIST_TUMOR_TYPE	Renal cell carcinoma	Renal cell carcinoma		A malignant neoplasm arising from renal parenchyma.
HIST_TUMOR_TYPE	Clear cell carcinoma	Clear cell carcinoma		The most common type of kidney cancer. It begins in the lining of the renal tubules in the kidney.
HIST_TUMOR_TYPE	Hypernephroma	Hypernephroma		Also known as 'Renal Cell Carcinoma'; a malignant neoplasm arising from renal parenchyma.
HIST_TUMOR_TYPE	Renal Spindle cell carcinoma	Renal Spindle cell carcinoma		Cancer arising in skin/tissues lining or covering internal organs and has long spindle-shaped cells
HIST_TUMOR_TYPE	Renal cell carcinoma - Vulvar Paget's Disease	Renal cell carcinoma - Vulvar Paget's Disease		A malignant neoplasm arising from renal parenchyma in association with the vulvar paget's disease. 
HIST_TUMOR_GRADE	UNDIFF	Undiffrentiated		Undiffrentiated
HIST_TUMOR_GRADE	MODERATELY_DIFF	Moderately differentiated		Moderately differentiated
HIST_TUMOR_GRADE	POORLY_DIFF	Poorly differentiated		Poorly differentiated
HIST_TUMOR_GRADE	WELL_DIFF	Well differentiated		Well differentiated
HIST_TUMOR_GRADE	MPD	Moderate to poorly differentiated		Moderate to poorly differentiated
TP53_MUTATION	WT	Wild Type		Wild Type
TP53_MUTATION	MUTANT	Mutant		Mutant
