SUBJECT_ID	PARENT_ID	TYPE	TIMEPOINT	POPULATION	SUPER_POPULATION	FAMILY_ID	GENDER	RELATIONSHIP	FAMILY_TYPE	
HG00265		PATIENT 		GBR	European		MALE		UNREL	
HG00266		PATIENT 		FIN	European		FEMALE		UNREL	
HG00267		PATIENT 		FIN	European		MALE		UNREL	
HG00268		PATIENT 		FIN	European		FEMALE		UNREL	
HG00269		PATIENT 		FIN	European		FEMALE		UNREL	
HG00270		PATIENT 		FIN	European		FEMALE		UNREL	
HG00271		PATIENT 		FIN	European		MALE		UNREL	
HG00272		PATIENT 		FIN	European		FEMALE		UNREL	
HG00273		PATIENT 		FIN	European		MALE		UNREL	
HG00274		PATIENT 		FIN	European		FEMALE		UNREL	
HG00275		PATIENT 		FIN	European		FEMALE		UNREL	
HG00276		PATIENT 		FIN	European		FEMALE		UNREL	
HG00277		PATIENT 		FIN	European		MALE		UNREL	
HG00278		PATIENT 		FIN	European		MALE		UNREL	
HG00280		PATIENT 		FIN	European		MALE		UNREL	
HG00281		PATIENT 		FIN	European		FEMALE		UNREL	
HG00282		PATIENT 		FIN	European		FEMALE		UNREL	
HG00284		PATIENT 		FIN	European		MALE		UNREL	
HG00285		PATIENT 		FIN	European		FEMALE		UNREL	
HG00306		PATIENT 		FIN	European		FEMALE		UNREL	
HG00308		PATIENT 		FIN	European		MALE		UNREL	
HG00309		PATIENT 		FIN	European		FEMALE		UNREL	
HG00310		PATIENT 		FIN	European		MALE		UNREL	
HG00311		PATIENT 		FIN	European		MALE		UNREL	
HG00312		PATIENT 		FIN	European		MALE		UNREL	
HG00313		PATIENT 		FIN	European		FEMALE		UNREL	
HG00315		PATIENT 		FIN	European		FEMALE		UNREL	
HG00318		PATIENT 		FIN	European		FEMALE		UNREL	
HG00319		PATIENT 		FIN	European		FEMALE		UNREL	
HG00320		PATIENT 		FIN	European		FEMALE		UNREL	
HG00321		PATIENT 		FIN	European		MALE		UNREL	
HG00323		PATIENT 		FIN	European		FEMALE		UNREL	
HG00324		PATIENT 		FIN	European		FEMALE		UNREL	
HG00325		PATIENT 		FIN	European		MALE		UNREL	
HG00326		PATIENT 		FIN	European		FEMALE		UNREL	
HG00327		PATIENT 		FIN	European		FEMALE		UNREL	
HG00328		PATIENT 		FIN	European		FEMALE		UNREL	
HG00329		PATIENT 		FIN	European		MALE		UNREL	
HG00330		PATIENT 		FIN	European		FEMALE		UNREL	
HG00331		PATIENT 		FIN	European		FEMALE		UNREL	
HG00332		PATIENT 		FIN	European		FEMALE		UNREL	
HG00334		PATIENT 		FIN	European		FEMALE		UNREL	
HG00335		PATIENT 		FIN	European		MALE		UNREL	
HG00336		PATIENT 		FIN	European		MALE		UNREL	
HG00337		PATIENT 		FIN	European		FEMALE		UNREL	
HG00338		PATIENT 		FIN	European		MALE		UNREL	
HG00339		PATIENT 		FIN	European		FEMALE		UNREL	
HG00341		PATIENT 		FIN	European		MALE		UNREL	
HG00342		PATIENT 		FIN	European		MALE		UNREL	
HG00343		PATIENT 		FIN	European		FEMALE		UNREL	
HG00344		PATIENT 		FIN	European		FEMALE		UNREL	
HG00345		PATIENT 		FIN	European		MALE		UNREL	
HG00346		PATIENT 		FIN	European		FEMALE		UNREL	
HG00349		PATIENT 		FIN	European		FEMALE		UNREL	
HG00350		PATIENT 		FIN	European		FEMALE		UNREL	
HG00351		PATIENT 		FIN	European		MALE		UNREL	
HG00353		PATIENT 		FIN	European		FEMALE		UNREL	
HG00355		PATIENT 		FIN	European		FEMALE		UNREL	
HG00356		PATIENT 		FIN	European		FEMALE		UNREL	
HG00357		PATIENT 		FIN	European		FEMALE		UNREL	
HG00358		PATIENT 		FIN	European		MALE		UNREL	
HG00359		PATIENT 		FIN	European		FEMALE		UNREL	
HG00360		PATIENT 		FIN	European		MALE		UNREL	
HG00361		PATIENT 		FIN	European		FEMALE		UNREL	
HG00362		PATIENT 		FIN	European		FEMALE		UNREL	
HG00363		PATIENT 		FIN	European		MALE		UNREL	
HG00364		PATIENT 		FIN	European		FEMALE		UNREL	
HG00365		PATIENT 		FIN	European		FEMALE		UNREL	
HG00366		PATIENT 		FIN	European		MALE		UNREL	
HG00367		PATIENT 		FIN	European		FEMALE		UNREL	
HG00368		PATIENT 		FIN	European		FEMALE		UNREL	
HG00369		PATIENT 		FIN	European		MALE		UNREL	
HG00371		PATIENT 		FIN	European		MALE		UNREL	
HG00372		PATIENT 		FIN	European		MALE		UNREL	
HG00373		PATIENT 		FIN	European		FEMALE		UNREL	
HG00375		PATIENT 		FIN	European		MALE		UNREL	
HG00376		PATIENT 		FIN	European		FEMALE		UNREL	
HG00377		PATIENT 		FIN	European		FEMALE		UNREL	
HG00378		PATIENT 		FIN	European		FEMALE		UNREL	
HG00379		PATIENT 		FIN	European		FEMALE		UNREL	
HG00380		PATIENT 		FIN	European		FEMALE		UNREL	
HG00381		PATIENT 		FIN	European		FEMALE		UNREL	
HG00382		PATIENT 		FIN	European		MALE		UNREL	
HG00383		PATIENT 		FIN	European		FEMALE		UNREL	
HG00384		PATIENT 		FIN	European		FEMALE		TRIO	
HG00403		PATIENT 		CHS	East Asian	SH001	MALE	FATHER	TRIO	
HG00404		PATIENT 		CHS	East Asian	SH001	FEMALE	MOTHER	TRIO	
HG00405		PATIENT 		CHS	East Asian	SH001	FEMALE	CHILD	TRIO	
HG00406		PATIENT 		CHS	East Asian	SH002	MALE	FATHER	TRIO	
HG00407		PATIENT 		CHS	East Asian	SH002	FEMALE	MOTHER	TRIO	
HG00408		PATIENT 		CHS	East Asian	SH002	FEMALE	CHILD	TRIO	
HG00418		PATIENT 		CHS	East Asian	SH006	MALE	FATHER	TRIO	
HG00419		PATIENT 		CHS	East Asian	SH006	FEMALE	MOTHER	TRIO	
HG00420		PATIENT 		CHS	East Asian	SH006	MALE	CHILD	TRIO	
HG00421		PATIENT 		CHS	East Asian	SH007	MALE	FATHER	TRIO	
HG00422		PATIENT 		CHS	East Asian	SH007	FEMALE	MOTHER	TRIO	
HG00423		PATIENT 		CHS	East Asian	SH007	FEMALE	CHILD	TRIO	
HG00427		PATIENT 		CHS	East Asian	SH009	MALE	FATHER	TRIO	
HG00428		PATIENT 		CHS	East Asian	SH009	FEMALE	MOTHER	TRIO	
HG00429		PATIENT 		CHS	East Asian	SH009	MALE	CHILD	TRIO	
HG00436		PATIENT 		CHS	East Asian	SH012	MALE	FATHER	TRIO	
HG00437		PATIENT 		CHS	East Asian	SH012	FEMALE	MOTHER	TRIO	
HG00438		PATIENT 		CHS	East Asian	SH012	FEMALE	CHILD	TRIO	
HG00442		PATIENT 		CHS	East Asian	SH014	MALE	FATHER	TRIO	
HG00443		PATIENT 		CHS	East Asian	SH014	FEMALE	MOTHER	TRIO	
HG00444		PATIENT 		CHS	East Asian	SH014	MALE	CHILD	TRIO	
HG00445		PATIENT 		CHS	East Asian	SH015	MALE	FATHER	TRIO	
HG00446		PATIENT 		CHS	East Asian	SH015	FEMALE	MOTHER	TRIO	
HG00447		PATIENT 		CHS	East Asian	SH015	FEMALE	CHILD	TRIO	
HG00448		PATIENT 		CHS	East Asian	SH016	MALE	FATHER	TRIO	
HG00449		PATIENT 		CHS	East Asian	SH016	FEMALE	MOTHER	TRIO	
HG00450		PATIENT 		CHS	East Asian	SH016	FEMALE	CHILD	TRIO	
HG00451		PATIENT 		CHS	East Asian	SH017	MALE	FATHER	TRIO	
HG00452		PATIENT 		CHS	East Asian	SH017	FEMALE	MOTHER	TRIO	
HG00453		PATIENT 		CHS	East Asian	SH017	FEMALE	CHILD	TRIO	
HG00457		PATIENT 		CHS	East Asian	SH019	MALE	FATHER	TRIO	
HG00458		PATIENT 		CHS	East Asian	SH019	FEMALE	MOTHER	TRIO	
HG00459		PATIENT 		CHS	East Asian	SH019	MALE	CHILD	TRIO	
HG00463		PATIENT 		CHS	East Asian	SH021	MALE	FATHER	TRIO	
HG00464		PATIENT 		CHS	East Asian	SH021	FEMALE	MOTHER	TRIO	
HG00465		PATIENT 		CHS	East Asian	SH021	MALE	CHILD	TRIO	
HG00472		PATIENT 		CHS	East Asian	SH024	MALE	FATHER	TRIO	
HG00473		PATIENT 		CHS	East Asian	SH024	FEMALE	MOTHER	TRIO	
HG00474		PATIENT 		CHS	East Asian	SH024	MALE	CHILD	TRIO	
HG00475		PATIENT 		CHS	East Asian	SH025	MALE	FATHER	TRIO	
HG00476		PATIENT 		CHS	East Asian	SH025	FEMALE	MOTHER	TRIO	
HG00477		PATIENT 		CHS	East Asian	SH025	MALE	CHILD	TRIO	
HG00478		PATIENT 		CHS	East Asian	SH026	MALE	FATHER	TRIO	
HG00479		PATIENT 		CHS	East Asian	SH026	FEMALE	MOTHER	TRIO	
HG00480		PATIENT 		CHS	East Asian	SH026	MALE	CHILD	TRIO	
HG00500		PATIENT 		CHS	East Asian	SH028	MALE	FATHER	TRIO	
HG00501		PATIENT 		CHS	East Asian	SH028	FEMALE	MOTHER	TRIO	
HG00502		PATIENT 		CHS	East Asian	SH028	MALE	CHILD	TRIO	
HG00512		PATIENT 		CHS	East Asian	SH032	MALE	FATHER	TRIO	
HG00513		PATIENT 		CHS	East Asian	SH032	FEMALE	MOTHER	TRIO	
HG00514		PATIENT 		CHS	East Asian	SH032	FEMALE	CHILD	TRIO	
HG00524		PATIENT 		CHS	East Asian	SH036	MALE	FATHER	TRIO	
HG00525		PATIENT 		CHS	East Asian	SH036	FEMALE	MOTHER	TRIO	
HG00526		PATIENT 		CHS	East Asian	SH036	MALE	CHILD	TRIO	
HG00530		PATIENT 		CHS	East Asian	SH038	MALE	FATHER	TRIO	
HG00531		PATIENT 		CHS	East Asian	SH038	FEMALE	MOTHER	TRIO	
HG00532		PATIENT 		CHS	East Asian	SH038	MALE	CHILD	TRIO	
HG00533		PATIENT 		CHS	East Asian	SH039	MALE	FATHER	TRIO	
HG00534		PATIENT 		CHS	East Asian	SH039	FEMALE	MOTHER	TRIO	
HG00535		PATIENT 		CHS	East Asian	SH039	MALE	CHILD	TRIO	
HG00536		PATIENT 		CHS	East Asian	SH040	MALE	FATHER	TRIO	
HG00537		PATIENT 		CHS	East Asian	SH040	FEMALE	MOTHER	TRIO	
HG00538		PATIENT 		CHS	East Asian	SH040	MALE	CHILD	TRIO	
HG00542		PATIENT 		CHS	East Asian	SH042	MALE	FATHER	TRIO	
HG00543		PATIENT 		CHS	East Asian	SH042	FEMALE	MOTHER	TRIO	
HG00544		PATIENT 		CHS	East Asian	SH042	FEMALE	CHILD	TRIO	
HG00551		PATIENT 		PUR	Ad Mixed American	PR01	FEMALE	MOTHER	TRIO	
HG00552		PATIENT 		PUR	Ad Mixed American	PR01	MALE	CHILD	TRIO	
HG00553		PATIENT 		PUR	Ad Mixed American	PR02	MALE	FATHER	TRIO	
HG00554		PATIENT 		PUR	Ad Mixed American	PR02	FEMALE	MOTHER	TRIO	
HG00555		PATIENT 		PUR	Ad Mixed American	PR02	FEMALE	CHILD	TRIO	
HG00556		PATIENT 		CHS	East Asian	SH045	MALE	FATHER	TRIO	
HG00557		PATIENT 		CHS	East Asian	SH045	FEMALE	MOTHER	TRIO	
HG00558		PATIENT 		CHS	East Asian	SH045	FEMALE	CHILD	TRIO	
HG00559		PATIENT 		CHS	East Asian	SH046	MALE	FATHER	TRIO	
HG00560		PATIENT 		CHS	East Asian	SH046	FEMALE	MOTHER	TRIO	
HG00561		PATIENT 		CHS	East Asian	SH046	FEMALE	CHILD	TRIO	
HG00565		PATIENT 		CHS	East Asian	SH048	MALE	FATHER	TRIO	
HG00566		PATIENT 		CHS	East Asian	SH048	FEMALE	MOTHER	TRIO	
HG00567		PATIENT 		CHS	East Asian	SH048	MALE	CHILD	TRIO	
HG00577		PATIENT 		CHS	East Asian	SH052	MALE	FATHER	TRIO	
HG00578		PATIENT 		CHS	East Asian	SH052	FEMALE	MOTHER	TRIO	
HG00579		PATIENT 		CHS	East Asian	SH052	FEMALE	CHILD	TRIO	
HG00580		PATIENT 		CHS	East Asian	SH053	MALE	FATHER	TRIO	
HG00581		PATIENT 		CHS	East Asian	SH053	FEMALE	MOTHER	TRIO	
HG00582		PATIENT 		CHS	East Asian	SH053	FEMALE	CHILD	TRIO	
HG00583		PATIENT 		CHS	East Asian	SH054	MALE	FATHER	TRIO	
HG00584		PATIENT 		CHS	East Asian	SH054	FEMALE	MOTHER	TRIO	
HG00585		PATIENT 		CHS	East Asian	SH054	FEMALE	CHILD	TRIO	
HG00589		PATIENT 		CHS	East Asian	SH056	MALE	FATHER	TRIO	
HG00590		PATIENT 		CHS	East Asian	SH056	FEMALE	MOTHER	TRIO	
HG00591		PATIENT 		CHS	East Asian	SH056	MALE	CHILD	TRIO	
HG00592		PATIENT 		CHS	East Asian	SH057	MALE	FATHER	TRIO	
HG00593		PATIENT 		CHS	East Asian	SH057	FEMALE	MOTHER	TRIO	
HG00594		PATIENT 		CHS	East Asian	SH057	MALE	CHILD	TRIO	
HG00595		PATIENT 		CHS	East Asian	SH058	MALE	FATHER	TRIO	
HG00596		PATIENT 		CHS	East Asian	SH058	FEMALE	MOTHER	TRIO	
HG00597		PATIENT 		CHS	East Asian	SH058	FEMALE	CHILD	TRIO	
HG00607		PATIENT 		CHS	East Asian	SH062	MALE	FATHER	TRIO	
HG00608		PATIENT 		CHS	East Asian	SH062	FEMALE	MOTHER	TRIO	
HG00609		PATIENT 		CHS	East Asian	SH062	MALE	CHILD	TRIO	
HG00610		PATIENT 		CHS	East Asian	SH063	MALE	FATHER	TRIO	
HG00611		PATIENT 		CHS	East Asian	SH063	FEMALE	MOTHER	TRIO	
HG00612		PATIENT 		CHS	East Asian	SH063	FEMALE	CHILD	TRIO	
HG00613		PATIENT 		CHS	East Asian	SH064	MALE	FATHER	TRIO	
HG00614		PATIENT 		CHS	East Asian	SH064	FEMALE	MOTHER	TRIO	
HG00615		PATIENT 		CHS	East Asian	SH064	FEMALE	CHILD	TRIO	
HG00619		PATIENT 		CHS	East Asian	SH066	MALE	FATHER	TRIO	
HG00620		PATIENT 		CHS	East Asian	SH066	FEMALE	MOTHER	TRIO	
HG00621		PATIENT 		CHS	East Asian	SH066	MALE	CHILD	TRIO	
HG00625		PATIENT 		CHS	East Asian	SH068	MALE	FATHER	TRIO	
HG00626		PATIENT 		CHS	East Asian	SH068	FEMALE	MOTHER	TRIO	
HG00627		PATIENT 		CHS	East Asian	SH068	MALE	CHILD	TRIO	
HG00628		PATIENT 		CHS	East Asian	SH069	MALE	FATHER	TRIO	
HG00629		PATIENT 		CHS	East Asian	SH069	FEMALE	MOTHER	TRIO	
HG00630		PATIENT 		CHS	East Asian	SH069	MALE	CHILD	TRIO	
HG00634		PATIENT 		CHS	East Asian	SH071	MALE	FATHER	TRIO	
HG00635		PATIENT 		CHS	East Asian	SH071	FEMALE	MOTHER	TRIO	
HG00636		PATIENT 		CHS	East Asian	SH071	MALE	CHILD	TRIO	
HG00637		PATIENT 		PUR	Ad Mixed American	PR03	MALE	FATHER	TRIO	
HG00638		PATIENT 		PUR	Ad Mixed American	PR03	FEMALE	MOTHER	TRIO	
HG00639		PATIENT 		PUR	Ad Mixed American	PR03	FEMALE	CHILD	TRIO	
HG00640		PATIENT 		PUR	Ad Mixed American	PR04	MALE	FATHER	TRIO	
HG00641		PATIENT 		PUR	Ad Mixed American	PR04	FEMALE	MOTHER	TRIO	
HG00642		PATIENT 		PUR	Ad Mixed American	PR04	MALE	CHILD	TRIO	
HG00650		PATIENT 		CHS	East Asian	SH072	MALE	FATHER	TRIO	
HG00651		PATIENT 		CHS	East Asian	SH072	FEMALE	MOTHER	TRIO	
HG00652		PATIENT 		CHS	East Asian	SH072	FEMALE	CHILD	TRIO	
HG00653		PATIENT 		CHS	East Asian	SH073	MALE	FATHER	TRIO	
HG00654		PATIENT 		CHS	East Asian	SH073	FEMALE	MOTHER	TRIO	
HG00655		PATIENT 		CHS	East Asian	SH073	FEMALE	CHILD	TRIO	
HG00656		PATIENT 		CHS	East Asian	SH074	MALE	FATHER	TRIO	
HG00657		PATIENT 		CHS	East Asian	SH074	FEMALE	MOTHER	TRIO	
HG00658		PATIENT 		CHS	East Asian	SH074	MALE	CHILD	TRIO	
HG00662		PATIENT 		CHS	East Asian	SH076	MALE	FATHER	TRIO	
HG00663		PATIENT 		CHS	East Asian	SH076	FEMALE	MOTHER	TRIO	
HG00664		PATIENT 		CHS	East Asian	SH076	MALE	CHILD	TRIO	
HG00671		PATIENT 		CHS	East Asian	SH079	MALE	FATHER	TRIO	
HG00672		PATIENT 		CHS	East Asian	SH079	FEMALE	MOTHER	TRIO	
HG00673		PATIENT 		CHS	East Asian	SH079	MALE	CHILD	TRIO	
HG00683		PATIENT 		CHS	East Asian	SH083	MALE	FATHER	TRIO	
HG00684		PATIENT 		CHS	East Asian	SH083	FEMALE	MOTHER	TRIO	
HG00685		PATIENT 		CHS	East Asian	SH083	MALE	CHILD	TRIO	
HG00689		PATIENT 		CHS	East Asian	SH085	MALE	FATHER	TRIO	
HG00690		PATIENT 		CHS	East Asian	SH085	FEMALE	MOTHER	TRIO	
HG00691		PATIENT 		CHS	East Asian	SH085	MALE	CHILD	TRIO	
HG00692		PATIENT 		CHS	East Asian	SH086	MALE	FATHER	TRIO	
HG00693		PATIENT 		CHS	East Asian	SH086	FEMALE	MOTHER	TRIO	
HG00694		PATIENT 		CHS	East Asian	SH086	MALE	CHILD	TRIO	
HG00698		PATIENT 		CHS	East Asian	SH088	MALE	FATHER	TRIO	
HG00699		PATIENT 		CHS	East Asian	SH088	FEMALE	MOTHER	TRIO	
HG00700		PATIENT 		CHS	East Asian	SH088	FEMALE	CHILD	TRIO	
HG00701		PATIENT 		CHS	East Asian	SH089	MALE	FATHER	TRIO	
HG00702		PATIENT 		CHS	East Asian	SH089	FEMALE	MOTHER	TRIO	
HG00703		PATIENT 		CHS	East Asian	SH089	MALE	CHILD	TRIO	
HG00704		PATIENT 		CHS	East Asian	SH090	MALE	FATHER	TRIO	
HG00705		PATIENT 		CHS	East Asian	SH090	FEMALE	MOTHER	TRIO	
HG00706		PATIENT 		CHS	East Asian	SH090	MALE	CHILD	TRIO	
HG00707		PATIENT 		CHS	East Asian	SH091	MALE	FATHER	TRIO	
HG00708		PATIENT 		CHS	East Asian	SH091	FEMALE	MOTHER	TRIO	
HG00709		PATIENT 		CHS	East Asian	SH091	MALE	CHILD	TRIO	
HG00716		PATIENT 		CHS	East Asian	SH094	MALE	FATHER	TRIO	
HG00717		PATIENT 		CHS	East Asian	SH094	FEMALE	MOTHER	TRIO	
HG00718		PATIENT 		CHS	East Asian	SH094	MALE	CHILD	TRIO	
HG00731		PATIENT 		PUR	Ad Mixed American	PR05	MALE	FATHER	TRIO	
HG00732		PATIENT 		PUR	Ad Mixed American	PR05	FEMALE	MOTHER	TRIO	
HG00733		PATIENT 		PUR	Ad Mixed American	PR05	FEMALE	CHILD	TRIO	
HG00734		PATIENT 		PUR	Ad Mixed American	PR06	FEMALE	MOTHER	TRIO	
HG00735		PATIENT 		PUR	Ad Mixed American	PR06	FEMALE	CHILD	TRIO	
HG00736		PATIENT 		PUR	Ad Mixed American	PR07	MALE	FATHER	TRIO	
HG00737		PATIENT 		PUR	Ad Mixed American	PR07	FEMALE	MOTHER	TRIO	
HG00738		PATIENT 		PUR	Ad Mixed American	PR07	MALE	CHILD	TRIO	
HG00739		PATIENT 		PUR	Ad Mixed American	PR09	MALE	FATHER	TRIO	
HG00740		PATIENT 		PUR	Ad Mixed American	PR09	FEMALE	MOTHER	TRIO	
HG00741		PATIENT 		PUR	Ad Mixed American	PR09	FEMALE	CHILD	UNREL	
HG00759		PATIENT 		CDX	East Asian		FEMALE		UNREL	
HG00766		PATIENT 		CDX	East Asian		FEMALE		UNREL	
HG00844		PATIENT 		CDX	East Asian		MALE		UNREL	
HG00851		PATIENT 		CDX	East Asian		FEMALE		UNREL	
HG00864		PATIENT 		CDX	East Asian		FEMALE		UNREL	
HG00866		PATIENT 		CDX	East Asian		MALE		UNREL	
HG00867		PATIENT 		CDX	East Asian		FEMALE		UNREL	
HG00879		PATIENT 		CDX	East Asian		FEMALE		UNREL	
HG00881		PATIENT 		CDX	East Asian		MALE		UNREL	
HG00956		PATIENT 		CDX	East Asian		FEMALE		UNREL	
HG00978		PATIENT 		CDX	East Asian		FEMALE		UNREL	
HG00982		PATIENT 		CDX	East Asian		MALE		UNREL	
HG00983		PATIENT 		CDX	East Asian		MALE		UNREL	
HG01028		PATIENT 		CDX	East Asian		MALE		UNREL	
HG01029		PATIENT 		CDX	East Asian		FEMALE		UNREL	
HG01031		PATIENT 		CDX	East Asian		MALE		UNREL	
HG01046		PATIENT 		CDX	East Asian		FEMALE		TRIO	
HG01047		PATIENT 		PUR	Ad Mixed American	PR06	MALE	FATHER	TRIO	
HG01048		PATIENT 		PUR	Ad Mixed American	PR08	MALE	FATHER	TRIO	
