V1	V2
ILMN_1687510	HRNR
ILMN_1679614	SGSM3
ILMN_1678238	ZNF683
ILMN_1680130	DYM
ILMN_1725294	LOC654127
ILMN_1868274	
ILMN_2189668	NUDT11
ILMN_1657442	ADARB1
ILMN_1796611	LOC643226
ILMN_1742859	ACSS2
ILMN_1817476	
ILMN_1687943	LOC650475
ILMN_1809433	XBP1
ILMN_1903565	
ILMN_1812112	ADAM21
ILMN_1694140	AFAP1L1
ILMN_1852506	
ILMN_1678252	HDLBP
ILMN_1756426	HDLBP
ILMN_1798472	LOC550112
ILMN_1683498	LOC441034
ILMN_1757532	SNPH
ILMN_1714083	KLHL8
ILMN_2189222	KLHL8
ILMN_1789395	OR9G1
ILMN_2089097	OR9G1
ILMN_1904276	
ILMN_1686835	C17orf41
ILMN_1687725	C17orf41
ILMN_1732374	C17orf41
ILMN_1781231	SLC25A38
ILMN_1656165	USP9X
ILMN_1679133	SERPINB1
ILMN_1752139	LOC643262
ILMN_1714896	SART3
ILMN_1677609	LOC646731
ILMN_1898071	
ILMN_1837891	
ILMN_1849285	
ILMN_2225061	TRIM71
ILMN_1714774	TRIM71
ILMN_1654031	TPTE2
ILMN_1809086	XRN1
ILMN_1771093	ZNF414
ILMN_1763637	KIAA0226
ILMN_2109156	RANBP1
ILMN_1721457	RANBP1
ILMN_2041222	FLJ40504
ILMN_1722537	FLJ40504
ILMN_1683859	SLC7A1
ILMN_1756254	NKX6-1
ILMN_1891698	
ILMN_1857076	
ILMN_2168992	FBXO30
ILMN_1700232	FBXO30
ILMN_1851757	
ILMN_1912997	
ILMN_1832934	
ILMN_1741843	RD3
ILMN_1858341	
ILMN_1869823	
ILMN_1684391	PLOD1
ILMN_2328327	SMTN
ILMN_2250445	SMTN
ILMN_2270845	WDR74
ILMN_1897213	LOC732226
ILMN_1690291	CC2D1B
ILMN_1824057	
ILMN_1667504	TTN
ILMN_1856201	
ILMN_2128048	PCDHB3
ILMN_2381206	DHODH
ILMN_1710834	LOC652787
ILMN_1869189	
ILMN_1738062	CYP2D7P1
ILMN_1776845	HIST1H3A
ILMN_1711765	PSMD4
ILMN_1733441	POGZ
ILMN_1793522	PRKAB1
ILMN_1914110	
ILMN_1795338	YPEL1
ILMN_1661451	LOC645520
ILMN_1883641	
ILMN_1871393	
ILMN_1664581	MICALL2
ILMN_1712291	MICALL2
ILMN_1810584	IL1R1
ILMN_1826047	
ILMN_1758085	PPIL5
ILMN_1898567	
ILMN_2215061	ORC6L
ILMN_2134453	FCGR3B
ILMN_2384216	XRN1
ILMN_1869193	
ILMN_2409167	ANXA2
ILMN_1751666	GPSM1
ILMN_1667064	GPSM1
ILMN_1778562	COMMD4
ILMN_1687273	LOC653468
ILMN_1671661	HSD17B7
ILMN_2362902	RASSF5
ILMN_1756052	NOL4
ILMN_1707055	GRRP1
ILMN_1806463	CTAGE6
ILMN_2332440	KCNMB2
ILMN_1687331	KCNMB2
ILMN_1792959	KCNMB2
ILMN_2167805	LUM
ILMN_1790529	LUM
ILMN_1903907	
ILMN_1792955	IRGQ
ILMN_1781155	LYN
ILMN_1829916	
ILMN_1726496	SEL1L
ILMN_1775367	LOC389904
ILMN_1716335	P2RXL1
ILMN_1662843	CD53
ILMN_2413808	CD53
ILMN_1762079	LOC650241
ILMN_1689936	LOC651586
ILMN_1773389	PLTP
ILMN_2351916	EXO1
ILMN_1673721	EXO1
ILMN_1725090	CTHRC1
ILMN_2117508	CTHRC1
ILMN_2085441	FOXD4L1
ILMN_1805747	LOC642621
ILMN_1673395	PIGO
ILMN_1797642	CEP192
ILMN_1714446	PLG
ILMN_1907315	
ILMN_1786278	FAM149A
ILMN_1866389	
ILMN_1651453	LOC652663
ILMN_1734153	GDI1
ILMN_1840719	
ILMN_1789593	PRPF40B
ILMN_1772137	LOC650577
ILMN_1684875	LOC440261
ILMN_1656110	LOC440261
ILMN_1753450	ATXN3L
ILMN_1824465	
ILMN_1740418	CYP27B1
ILMN_1655715	LOC644171
ILMN_1805396	LOC168474
ILMN_1675520	LOC340268
ILMN_1652429	CXorf30
ILMN_1695446	AMBP
ILMN_1896061	
ILMN_1709719	EDG7
ILMN_1716448	OR10A3
ILMN_1869299	
ILMN_1750373	KAL1
ILMN_1671932	SAMM50
ILMN_1849148	
ILMN_1685886	MAPK4
ILMN_1713037	PFKL
ILMN_1709294	CDCA8
ILMN_1862684	
ILMN_1740441	CYB5R3
ILMN_2215119	SYNJ2
ILMN_1816390	
ILMN_2324056	GNL3
ILMN_2108590	THSD7B
ILMN_1713873	THSD7B
ILMN_1901089	
ILMN_1909566	
ILMN_1818793	
ILMN_1778723	AMICA1
ILMN_1698712	LOC648230
ILMN_1671674	LOC653576
ILMN_1688417	MYL2
ILMN_1662086	GUCA1A
ILMN_1707930	LOC648050
ILMN_1752681	NPBWR1
ILMN_1802901	TRPV3
ILMN_1690063	LOC651143
ILMN_1710859	PCSK1
ILMN_2081813	PCSK1
ILMN_1892983	
ILMN_1673138	ZBTB33
ILMN_1909763	
ILMN_1813620	PARP6
ILMN_1909083	
ILMN_1762701	DCAMKL3
ILMN_1692620	ZNF263
ILMN_1809303	LOC730099
ILMN_1780117	LOC644621
ILMN_1783226	SSR2
ILMN_1665492	SORCS1
ILMN_2107482	TXLNB
ILMN_1905775	
ILMN_1664265	EPHA1
ILMN_1897911	
ILMN_1750409	RAB9A
ILMN_1729219	LOC650243
ILMN_1739956	CRSP2
ILMN_1790012	RBM19
ILMN_1814311	LOC653559
ILMN_1763311	C12orf39
ILMN_1687371	LOC647479
ILMN_1885478	
ILMN_1863549	
ILMN_1911337	
ILMN_2209163	CHD6
ILMN_1674186	LOC647156
ILMN_1777663	TOP2B
ILMN_1660624	LIMK2
ILMN_1803392	TAX1BP3
ILMN_1736285	RFT1
ILMN_1843837	
ILMN_1912438	
ILMN_1797554	ZNF189
ILMN_1771003	HAUS4
ILMN_1911873	
ILMN_1781884	KRT12
ILMN_1658093	LOC652470
ILMN_1893235	
ILMN_1672103	LOC648569
ILMN_1657612	LOC285900
ILMN_1660400	BRUNOL4
ILMN_1713105	LOC652435
ILMN_1678526	MSL3L2
ILMN_2326737	PPIE
ILMN_1690818	AKAP5
ILMN_1757259	OR8B4
ILMN_2394750	EXOC4
ILMN_1760682	STAG3L1
ILMN_1667315	STAG3L1
ILMN_2288297	CEP63
ILMN_2396011	CEP63
ILMN_1905850	
ILMN_1654427	LOC653217
ILMN_1891754	
ILMN_1735788	TRIOBP
ILMN_1795739	MPZL3
ILMN_1862834	
ILMN_1849468	
ILMN_2356745	BTBD7
ILMN_1757298	BTBD7
ILMN_1917082	
ILMN_1739170	TM4SF18
ILMN_1655615	LOC646932
ILMN_1863822	
ILMN_1895763	
ILMN_1867344	
ILMN_2246105	C3orf23
ILMN_1663897	ALS2CR16
ILMN_2177460	AQR
ILMN_1663484	C15orf63
ILMN_2073543	C15orf63
ILMN_1686988	ST5
ILMN_1773470	ST5
ILMN_1807924	OR13D1
ILMN_1718971	TTC7B
ILMN_1760412	SHISA2
ILMN_1893748	
ILMN_1653865	LOC642451
ILMN_1753627	DOLK
ILMN_1704284	LOC648164
ILMN_2106449	PLEKHF2
ILMN_1687392	NRK
ILMN_1717706	PLK2
ILMN_1811945	LOC652141
ILMN_1905013	
ILMN_1753639	MTAP
ILMN_2047618	KCNE1
ILMN_1671365	PRODH
ILMN_1798123	ELOVL1
ILMN_1821052	
ILMN_1720695	LOC730833
ILMN_1652163	DVL2
ILMN_1901341	
ILMN_1769374	OR2M2
ILMN_1893413	
ILMN_1668708	SPATA3
ILMN_1740915	SPATA3
ILMN_1782813	DHFR
ILMN_1906867	
ILMN_1838017	
ILMN_1755290	CEP170
ILMN_2294684	CEP170
ILMN_1743345	ARMCX4
ILMN_1730887	LOC652034
ILMN_1693045	TMED1
ILMN_1679405	DDX56
ILMN_1855711	
ILMN_1823392	
ILMN_1797104	C10orf95
ILMN_1826707	
ILMN_2411384	MGC57359
ILMN_1818465	
ILMN_1829064	
ILMN_1711087	LOC648526
ILMN_1808765	ZNF25
ILMN_2215656	MAGOH
ILMN_1755582	PCSK1N
ILMN_1794686	IL9R
ILMN_2104967	ZNF443
ILMN_1656021	DAZ4
ILMN_1754528	DAZ4
ILMN_2404951	DAZ4
ILMN_1656420	MGC3020
ILMN_1768273	POP1
ILMN_1838863	
ILMN_2048607	ANKRD9
ILMN_1675937	ANKRD9
ILMN_1913529	
ILMN_1888430	
ILMN_1760315	VWCE
ILMN_1834856	
ILMN_2196232	C1orf210
ILMN_1846162	
ILMN_1872393	
ILMN_1810857	S100A5
ILMN_2358801	PLEKHG5
ILMN_1815039	C6orf153
ILMN_1787948	KCNIP4
ILMN_1878889	
ILMN_2108865	CLLU1
ILMN_1848913	
ILMN_1709814	NMRAL1
ILMN_1863046	
ILMN_1825955	
ILMN_1897160	
ILMN_1802093	ZNF677
ILMN_1725311	GCGR
ILMN_1806500	CPNE5
ILMN_1696828	RGS14
ILMN_1727300	ZNF444
ILMN_1916026	
ILMN_1781236	LOC554223
ILMN_1827446	
ILMN_1724893	KCTD4
ILMN_2272074	TROVE2
ILMN_1714536	SCGB1D2
ILMN_1813664	HIRA
ILMN_1669440	ZNF326
ILMN_1762594	NOD2
ILMN_1916838	
ILMN_1652550	LOC647681
ILMN_2327276	STAU1
ILMN_1662488	MED23
ILMN_1674506	MED23
ILMN_2401436	PKMYT1
ILMN_1887508	
ILMN_1682792	BYSL
ILMN_1789109	LOC643176
ILMN_1809212	HPR
ILMN_2155452	HPR
ILMN_1848906	
ILMN_1827299	
ILMN_1743046	SERPINA13
ILMN_1678183	CDRT1
ILMN_1760479	MOS
ILMN_2179652	PRELID1
ILMN_1687170	LOC646498
ILMN_1807413	LOC728772
ILMN_1688722	IL13RA2
ILMN_1900221	
ILMN_1872388	
ILMN_1874351	
ILMN_1788387	UGCGL2
ILMN_1686405	KDR
ILMN_1778203	CLN5
ILMN_1746871	TNRC6C
ILMN_1880342	
ILMN_1686871	PARP1
ILMN_1747099	LUC7L2
ILMN_1772148	SULT1C4
ILMN_2299795	CPM
ILMN_1709440	CPM
ILMN_1706497	P2RX2
ILMN_1669239	P2RX2
ILMN_1871316	
ILMN_1656886	LIN37
ILMN_2093980	TMEM38B
ILMN_1669940	TMEM38B
ILMN_1672783	CT45A4
ILMN_2135944	CT45A4
ILMN_1757689	CT45A4
ILMN_1879488	
ILMN_1880700	
ILMN_1853447	
ILMN_2369756	CCDC46
ILMN_2273331	CCDC46
ILMN_1880042	
ILMN_1669584	ILF3
ILMN_1738097	MCTP1
ILMN_1654685	MCTP1
ILMN_1860196	
ILMN_1899542	
ILMN_1726649	LOC339529
ILMN_1757546	OR1D2
ILMN_1842809	
ILMN_1771118	SLCO1B1
ILMN_1811835	SLC12A5
ILMN_2129910	SLC12A5
ILMN_1677273	TH
ILMN_1807883	OR4D2
ILMN_1747285	HFM1
ILMN_1654632	RGS7BP
ILMN_1911047	
ILMN_1673493	GABRB3
ILMN_1668533	UROC1
ILMN_1828042	
ILMN_1657010	LOC645879
ILMN_1889942	
ILMN_1772848	FLJ46257
ILMN_1664193	DKFZP781G0119
ILMN_1847175	
ILMN_1829535	
ILMN_2340935	WBP5
ILMN_1762674	NUP43
ILMN_1711009	ISLR
ILMN_1878109	
ILMN_2380453	USP45
ILMN_1709043	C9orf46
ILMN_1851431	
ILMN_1652314	SPAG1
ILMN_1712773	SPAG1
ILMN_1741599	MEMO1
ILMN_1751051	C7orf25
ILMN_2375184	AAA1
ILMN_1793009	LOC652557
ILMN_1772163	PRKY
ILMN_1652777	CDC42EP2
ILMN_1828454	
ILMN_1678215	RHOJ
ILMN_1705396	PIK3CA
ILMN_1705468	PIK3CA
ILMN_1789457	GNL1
ILMN_1782635	YARS2
ILMN_1819469	
ILMN_1841950	
ILMN_1857006	
ILMN_1652687	LOC440104
ILMN_2261784	CCNY
ILMN_1708991	CCNY
ILMN_1709142	PURA
ILMN_1766438	OR5H6
ILMN_2401730	C1GALT1C1
ILMN_1818988	
ILMN_2105177	SAMD8
ILMN_1775053	LOC644838
ILMN_1692871	LOC644838
ILMN_1666212	LOC646449
ILMN_1859882	
ILMN_1881924	
ILMN_2335264	BCO2
ILMN_1787288	LOC150383
ILMN_1692833	LOC645485
ILMN_1715947	LOC648210
ILMN_1661346	LOC648210
ILMN_1732074	LOC648210
ILMN_1870044	
ILMN_2130078	CDKN2AIPNL
ILMN_1806405	CDKN2AIPNL
ILMN_1796923	LOC81691
ILMN_1916105	
ILMN_1732776	NUP98
ILMN_1684074	NUP98
ILMN_1893679	
ILMN_1657836	PLEKHG2
ILMN_1762899	EGR1
ILMN_1716370	TNS4
ILMN_1858794	
ILMN_1726239	TBCA
ILMN_1864381	
ILMN_1712755	LRRC41
ILMN_1753490	C10orf39
ILMN_1657317	POLR2J
ILMN_1756918	FLJ32065
ILMN_1730048	C7orf26
ILMN_1724194	NPEPL1
ILMN_1880727	
ILMN_1669659	LOC646109
ILMN_1846406	
ILMN_1722037	PEX5L
ILMN_2183891	PEX5L
ILMN_1821887	
ILMN_2405353	SDK1
ILMN_2281089	STEAP3
ILMN_2383349	STEAP3
ILMN_1866040	LOC730049
ILMN_1712583	METRN
ILMN_2107344	FLJ46347
ILMN_1670723	MSL3
ILMN_1682123	TTC9B
ILMN_2406552	LRDD
ILMN_1797925	MOCS2
ILMN_1770087	MOCS2
ILMN_1659444	KIF1B
ILMN_1735552	KIF1B
ILMN_1661646	BANK1
ILMN_1749641	FBXO3
ILMN_2273261	FBXO3
ILMN_1720794	SNORD4B
ILMN_2103003	LOC650137
ILMN_1802701	LOC650137
ILMN_1658519	SLC13A3
ILMN_1675488	SLC13A3
ILMN_1740200	LOC728216
ILMN_1849901	
ILMN_1854701	
ILMN_1700076	PRNPIP
ILMN_1656015	LOC648830
ILMN_1841494	
ILMN_1895877	
ILMN_1746658	RORB
ILMN_1822491	
ILMN_1723007	ZCCHC9
ILMN_1682544	CLUL1
ILMN_1687518	CLUL1
ILMN_1763852	ACACB
ILMN_1651760	LOC646537
ILMN_1722688	ALG2
ILMN_1742145	ESPL1
ILMN_1663141	LOC645006
ILMN_1715113	HARS2
ILMN_1777096	TDG
ILMN_1782331	TDG
ILMN_1890185	
ILMN_1731118	CR1
ILMN_1664854	LOC646560
ILMN_1655190	LOC649044
ILMN_1754983	LOC643962
ILMN_1699087	LOC643690
ILMN_2357542	VIP
ILMN_1736700	ALDOA
ILMN_1859888	
ILMN_1749150	RXFP1
ILMN_1859499	
ILMN_1818912	
ILMN_1900649	
ILMN_1692247	TRIM7
ILMN_2212590	TMEM170A
ILMN_1900148	
ILMN_2293067	PM20D1
ILMN_1847718	
ILMN_1660372	GRIA2
ILMN_1708570	LOC645681
ILMN_1728230	ZNF30
ILMN_1706403	POU1F1
ILMN_2072875	SUPT7L
ILMN_1822857	
ILMN_2066904	OR4C12
ILMN_1715583	BOP1
ILMN_1818368	
ILMN_2393712	CTTN
ILMN_2225151	DLX6
ILMN_1668521	LIM2
ILMN_1754990	LOC388720
ILMN_1664918	CT45-2
ILMN_1808850	DAB2IP
ILMN_1783161	DAB2IP
ILMN_2278242	ACSL6
ILMN_2378555	ACSL6
ILMN_1846128	
ILMN_1663913	OR1S2
ILMN_1914260	
ILMN_1668463	SON
ILMN_1794949	DSCR1L1
ILMN_1722826	GIPC3
ILMN_2091920	PTCRA
ILMN_1730118	ZNF644
ILMN_1652376	IFNA17
ILMN_1729801	S100A8
ILMN_1767135	SOS1
ILMN_1882187	
ILMN_1876622	
ILMN_1665219	LTBP4
ILMN_1722070	APOC3
ILMN_1769458	SPIN2B
ILMN_1681760	LOC728518
ILMN_1911374	LOC642879
ILMN_1892652	
ILMN_1835033	
ILMN_1709135	LOC647546
ILMN_1779501	MC5R
ILMN_1745962	FBXO7
ILMN_1715963	FBXO7
ILMN_1883378	
ILMN_2128770	CDR2L
ILMN_2075065	FADS2
ILMN_1813801	LOC643668
ILMN_1692903	ZNF663
ILMN_2396672	ABLIM1
ILMN_1718912	SOX5
ILMN_1735463	EXD3
ILMN_1824944	
ILMN_1787885	NUDT18
ILMN_1855130	
ILMN_1750706	FEZF2
ILMN_1701361	C9orf150
ILMN_1791206	ZNF490
ILMN_1699797	HDLBP
ILMN_1854241	
ILMN_2170813	LAMP3
ILMN_2170814	LAMP3
ILMN_1706140	PAGE2B
ILMN_1910297	
ILMN_1779095	CEBPE
ILMN_1684558	C1QTNF9
ILMN_1872864	
ILMN_1657273	LOC651429
ILMN_2157932	FKSG44
ILMN_1799120	WFDC2
ILMN_1757825	ZNF230
ILMN_2374687	PTPN13
ILMN_2374683	PTPN13
ILMN_1666169	NBR2
ILMN_1779897	NPR1
ILMN_1872970	
ILMN_1750153	OR52A1
ILMN_1789641	ABCG2
ILMN_1761733	HLA-DMB
ILMN_1708542	LOC402617
ILMN_1808500	CEP68
ILMN_1731609	CHMP6
ILMN_1659148	ARL8A
ILMN_1786966	ATRNL1
ILMN_2387175	WDR31
ILMN_2387180	WDR31
ILMN_1777913	CDK8
ILMN_1814483	POP5
ILMN_2347748	FLJ12949
ILMN_1822442	
ILMN_1833040	
ILMN_1731446	COL11A1
ILMN_2131528	FLJ45964
ILMN_2050959	LST-3TM12
ILMN_2350514	TBX1
ILMN_2262510	TBX1
ILMN_1834573	
ILMN_1876497	
ILMN_1883750	
ILMN_1713387	PHYHIP
ILMN_1667885	BCL11B
ILMN_1665761	BCL11B
ILMN_1844237	
ILMN_1747205	JDP2
ILMN_1880864	
ILMN_1715540	TRAIP
ILMN_2320513	APBB3
ILMN_1655985	GALNT10
ILMN_1681984	GALNT10
ILMN_2182262	FRG2
ILMN_1760475	FRG2
ILMN_1725760	YTHDC2
ILMN_1806483	ZWILCH
ILMN_1700378	ZWILCH
ILMN_1908458	
ILMN_1791519	ZNF497
ILMN_1824554	
ILMN_1656998	LOC653555
ILMN_1706232	LOC644852
ILMN_2145518	TMEM126B
ILMN_1766851	TMEM126B
ILMN_1719599	SYTL4
ILMN_1693220	AKAP11
ILMN_2293758	AKAP11
ILMN_1783818	AKAP11
ILMN_1729734	MFSD4
ILMN_1667037	MFSD4
ILMN_1761511	APOH
ILMN_1916901	
ILMN_1767263	LOC158301
ILMN_1701857	LOC644373
ILMN_1723574	LOC648432
ILMN_1728479	LOC651133
ILMN_1697557	LOC647080
ILMN_1678568	LOC643913
ILMN_1865560	
ILMN_1677261	LZTS1
ILMN_1907292	
ILMN_2059886	TTC38
ILMN_2094424	TNRC6C
ILMN_1819835	
ILMN_1699382	LOC647500
ILMN_1668228	LOC136143
ILMN_2279484	C2orf88
ILMN_1668717	LOC649942
ILMN_1910120	LOC730092
ILMN_1778657	LOC730092
ILMN_2043109	TOP1P2
ILMN_1838702	
ILMN_1818360	
ILMN_1782538	VIM
ILMN_2058251	VIM
ILMN_1669377	AP4B1
ILMN_1653205	C8orf59
ILMN_1663033	TMEM129
ILMN_1716729	FLJ26056
ILMN_1671297	ADAM33
ILMN_1705458	TRIM58
ILMN_1807649	SPOPL
ILMN_2095506	SPOPL
ILMN_1820392	
ILMN_2343618	SAMD3
ILMN_2258816	SAMD3
ILMN_2218758	EFCBP1
ILMN_1808219	HEATR3
ILMN_1666082	HEATR3
ILMN_1839824	
ILMN_2097790	C1orf86
ILMN_1651826	BASP1
ILMN_1699537	C9orf135
ILMN_1656409	STON1-GTF2A1L
ILMN_1839525	
ILMN_1662905	NME1-NME2
ILMN_1693430	NME1-NME2
ILMN_1837476	
ILMN_1852838	
ILMN_2111065	NME2P1
ILMN_1791945	LOC651933
ILMN_2107991	HABP4
ILMN_1792384	HABP4
ILMN_1684183	RAD9A
ILMN_1842788	
ILMN_1855852	
ILMN_1836848	
ILMN_1700417	SLC22A14
ILMN_1744442	TTPAL
ILMN_1711408	ANXA4
ILMN_2319994	RPL3
ILMN_2319996	RPL3
ILMN_2198812	FDX1
ILMN_1680412	LOC654200
ILMN_1856828	
ILMN_1906540	
ILMN_1699820	TNPO1
ILMN_1722522	CCNT2
ILMN_1787877	CCNT2
ILMN_1878511	
ILMN_1880717	
ILMN_1675401	LOC643558
ILMN_1791933	CCDC82
ILMN_1690064	RUNDC2C
ILMN_1709164	RUNDC2C
ILMN_1888613	
ILMN_1897369	
ILMN_1775100	LOC649282
ILMN_1728067	OR2F1
ILMN_1761119	KRTAP13-4
ILMN_1776464	PARP4
ILMN_1705568	BCAP29
ILMN_1715928	BCAP29
ILMN_1695621	KRT3
ILMN_1898242	
ILMN_1780291	NFAT5
ILMN_1704063	KCNH3
ILMN_2383058	SIRPG
ILMN_2366490	ZNF706
ILMN_1844851	
ILMN_1798957	C12orf47
ILMN_1680948	LMOD1
ILMN_1684289	PNPO
ILMN_1866495	
ILMN_1896682	
ILMN_1675669	IBTK
ILMN_1784595	SBF2
ILMN_1699226	UBR4
ILMN_1874229	
ILMN_1738678	C9orf130
ILMN_1730567	OTUD6A
ILMN_1651767	MKL1
ILMN_2190051	CCDC91
ILMN_1717262	PROCR
ILMN_1878894	
ILMN_1816953	
ILMN_1653039	LOC642934
ILMN_1701998	AFAP1
ILMN_1651235	AFAP1
ILMN_1912581	
ILMN_1917290	
ILMN_2356632	NCK2
ILMN_1667169	LOC440349
ILMN_1700143	FRMD4B
ILMN_1880349	
ILMN_1904022	
ILMN_1898917	
ILMN_1887665	
ILMN_1656619	LOC652553
ILMN_1863502	
ILMN_1808196	GSTO1
ILMN_2227573	GSTO1
ILMN_1760796	LOC652881
ILMN_1661610	LOC642637
ILMN_1771815	C20orf43
ILMN_1663954	TH1L
ILMN_1725609	LOC653107
ILMN_1753665	PRR4
ILMN_1876794	
ILMN_1734951	GSC2
ILMN_1772674	IL21
ILMN_1731293	C8B
ILMN_1794617	LOC645104
ILMN_1888481	
ILMN_1660718	GABBR2
ILMN_1725084	LOC643326
ILMN_1914875	
ILMN_1779258	LOC644774
ILMN_1711227	GMDS
ILMN_1842908	
ILMN_1857413	
ILMN_1695853	CLK4
ILMN_1906415	
ILMN_1786069	DMD
ILMN_1701017	SAA1
ILMN_1808732	SAA1
ILMN_1856669	
ILMN_1655449	OR5R1
ILMN_2181060	CKAP2
ILMN_2413615	LLGL2
ILMN_1915067	
ILMN_1660633	CAMK2N2
ILMN_1689000	DUSP15
ILMN_2382471	DUSP15
ILMN_1913477	
ILMN_1781870	RBM8A
ILMN_1855818	
ILMN_1791792	C12orf5
ILMN_1729498	TMEFF1
ILMN_1671843	PSRC1
ILMN_1801152	PSRC1
ILMN_2138005	CHL1
ILMN_1713347	CHL1
ILMN_1705630	LOC641700
ILMN_1810210	DACH2
ILMN_1684866	C21orf49
ILMN_1781150	RBM19
ILMN_1917153	
ILMN_1660357	LOC641825
ILMN_1812262	DDR1
ILMN_1660898	LOC644489
ILMN_1814726	SCARB2
ILMN_1685012	EAF1
ILMN_2389069	PAEP
ILMN_1776188	MAP1LC3A
ILMN_1711986	MAP1LC3A
ILMN_1793302	WDR4
ILMN_1892599	
ILMN_1881084	
ILMN_1825153	
ILMN_1775268	HECW2
ILMN_1735189	C21orf114
ILMN_1696190	STRN4
ILMN_1860402	
ILMN_1915152	
ILMN_1789690	LOC642244
ILMN_1847050	
ILMN_1733103	LOC285908
ILMN_1656589	LOC652537
ILMN_1877389	
ILMN_1782110	ZNF295
ILMN_1701871	LOC651520
ILMN_1820327	
ILMN_1856579	
ILMN_1867864	
ILMN_1796685	BEST4
ILMN_1879074	
ILMN_1916801	
ILMN_1890120	
ILMN_1716728	C6orf64
ILMN_1680952	LOC651102
ILMN_1664920	C19orf12
ILMN_1718365	C19orf12
ILMN_1703695	C19orf12
ILMN_2362439	C19orf12
ILMN_1912078	
ILMN_1892184	
ILMN_1754600	FNBP1L
ILMN_1809895	FNBP1L
ILMN_1724096	TNK1
ILMN_1694126	KIF24
ILMN_1812461	WISP2
ILMN_2135709	C8orf47
ILMN_1724070	MAP3K14
ILMN_1661461	LOC283547
ILMN_1745957	LOC654172
ILMN_1851074	
ILMN_1693665	LOC729260
ILMN_1768217	LOC643672
ILMN_1731370	C9orf84
ILMN_1816114	
ILMN_1741698	OPCML
ILMN_1751846	LOC651166
ILMN_1658807	HMOX2
ILMN_1848738	
ILMN_1670576	IRF5
ILMN_1695917	C5orf15
ILMN_1711543	C14orf169
ILMN_1742230	BAZ1A
ILMN_1687827	ZNF311
ILMN_1736692	SRL
ILMN_1683163	LOC653125
ILMN_1868908	
ILMN_1679274	LOC652094
ILMN_1847888	
ILMN_1792972	ZNF439
ILMN_1659511	LOC645652
ILMN_1799640	LOC651403
ILMN_1843198	
ILMN_1906473	
ILMN_1904641	
ILMN_1889805	
ILMN_1720113	PTPRO
ILMN_1746635	Gcom1
ILMN_1798841	PLCXD3
ILMN_1864575	
ILMN_1859147	
ILMN_1905295	
ILMN_1847032	
ILMN_1847691	
ILMN_1731275	DPEP3
ILMN_1732772	PPME1
ILMN_1745914	LOC650594
ILMN_1709408	MASP2
ILMN_1735260	MASP2
ILMN_1742324	C1orf9
ILMN_2253272	C1orf9
ILMN_1712784	LOC644421
ILMN_1738300	SLC4A8
ILMN_1679816	C1orf117
ILMN_1871108	
ILMN_1697777	TSTA3
ILMN_1849803	
ILMN_1905540	
ILMN_1794510	FLJ32255
ILMN_1677906	LOC643287
ILMN_2391178	STAR
ILMN_2391176	STAR
ILMN_1702757	FLJ20464
ILMN_1811790	FOXS1
ILMN_1834918	
ILMN_1755638	TAF7L
ILMN_1772224	KCNJ5
ILMN_1714749	PHF6
ILMN_1661608	LOC645783
ILMN_1870311	
ILMN_1859434	
ILMN_1811063	LOC649447
ILMN_1703280	LOC647941
ILMN_1803218	GPR139
ILMN_1697857	LOC644715
ILMN_1725809	IL18BP
ILMN_1653575	IL18BP
ILMN_1680189	LOC648173
ILMN_1889642	
ILMN_1871862	
ILMN_1904855	
ILMN_1676565	LOC647308
ILMN_1704252	LOC652439
ILMN_1658513	IQSEC2
ILMN_2069632	GTSF1
ILMN_1893075	
ILMN_1915188	
ILMN_1741200	RFX5
ILMN_1866210	
ILMN_1766185	AXIN1
ILMN_1661004	FLJ25328
ILMN_1867214	
ILMN_1754942	SHC2
ILMN_1770065	FLJ44290
ILMN_2339627	COPE
ILMN_1715133	IVNS1ABP
ILMN_1678961	FRMD4A
ILMN_1731720	PDRG1
ILMN_1876420	
ILMN_1787266	SPINK1
ILMN_1664028	CENPB
ILMN_1757230	ZNF250
ILMN_1785605	SDF4
ILMN_1696065	SDF4
ILMN_1747395	SLC24A1
ILMN_1691165	CLSPN
ILMN_1872462	KCNA1
ILMN_1736400	LOC127150
ILMN_1892752	
ILMN_1855286	
ILMN_1728639	FCGR3B
ILMN_1854469	
ILMN_1839468	
ILMN_1717012	LOC643805
ILMN_1781390	FGF17
ILMN_1760339	ZNF774
ILMN_1821680	
ILMN_1814657	TFAP4
ILMN_1821701	
ILMN_1673788	CDV3
ILMN_1810977	CDV3
ILMN_1693862	MGC70857
ILMN_1689059	ZNF329
ILMN_1907131	
ILMN_1751279	KLHL32
ILMN_1691790	DACT2
ILMN_1685750	RAB3C
ILMN_1884334	
ILMN_1695485	C9orf109
ILMN_1915199	
ILMN_1821522	
ILMN_1913061	
ILMN_2339202	KTN1
ILMN_1776963	LMAN2
ILMN_1708203	OTUD4
ILMN_1878603	
ILMN_1900714	
ILMN_1722829	HLF
ILMN_1849116	
ILMN_1659475	KRTAP4-5
ILMN_2324109	SLC6A20
ILMN_1764867	LOC649431
ILMN_1873090	
ILMN_1913982	
ILMN_1730745	CCDC73
ILMN_1672417	PTPRCAP
ILMN_1733276	CYSLTR1
ILMN_1894856	
ILMN_2275560	NDUFAF3
ILMN_1852036	
ILMN_1879239	
ILMN_1790471	CICE
ILMN_1814952	FLCN
