TYPE	TERM	TERM_MEANING	EVS_ID	DFINITION
DISEASE_CODE_RELATIVE	C80	malignant neoplasm without specification of site		malignant neoplasm without specification of site
DISEASE_CODE_RELATIVE	C34.9	malignant neoplasm of lung, unspecified     		malignant neoplasm of lung, unspecified     
DISEASE_CODE_RELATIVE	C64	malignant neoplasm of kidney, except renal pelvis     		malignant neoplasm of kidney, except renal pelvis     
DISEASE_CODE_RELATIVE	C18.9	malignant neoplasm of colon, unspecified     		malignant neoplasm of colon, unspecified     
DISEASE_CODE_RELATIVE	C55	malignant neoplasm of uterus, part unspecified     		malignant neoplasm of uterus, part unspecified     
DISEASE_CODE_RELATIVE	C61	malignant neoplasm of prostate		malignant neoplasm of prostate
DISEASE_CODE_RELATIVE	C16.9	malignant neoplasm of stomach: stomach, unspecified     		malignant neoplasm of stomach: stomach, unspecified     
DISEASE_CODE_RELATIVE	C85.9	non-hodgkin's lymphoma, unspecified type     		non-hodgkin's lymphoma, unspecified type     
DISEASE_CODE_RELATIVE	C50.9	malignant neoplasm of breast, unspecified     		malignant neoplasm of breast, unspecified     
DISEASE_CODE_RELATIVE	E11.9	non-insulin-dependent diabetes mellitus without complications		non-insulin-dependent diabetes mellitus without complications
DISEASE_CODE_RELATIVE	C22.9	malignant neoplasm of liver, unspecified     		malignant neoplasm of liver, unspecified     
DISEASE_CODE_RELATIVE	C26.0	malignant neoplasm of Intestinal tract, part unspecified     		malignant neoplasm of Intestinal tract, part unspecified     
DISEASE_CODE_RELATIVE	C32.9	malignant neoplasm of larynx, unspecified     		malignant neoplasm of larynx, unspecified     
DISEASE_CODE_RELATIVE	C44.9	malignant neoplasm of skin, unspecified     		malignant neoplasm of skin, unspecified     
DISEASE_CODE_PREV_CANCER	C18.7	malignant neoplasm of sigmoid colon		malignant neoplasm of sigmoid colon
DISEASE_CODE_PREV_CANCER	C78.7	secondary malignant neoplasm of liver		secondary malignant neoplasm of liver
DISEASE_CODE_PREV_CANCER	C18.2	malignant neoplasm of ascending colon		malignant neoplasm of ascending colon
DISEASE_CODE_PREV_CANCER	C20	malignant neoplasm of rectum		malignant neoplasm of rectum
DISEASE_CODE_PREV_CANCER	C78.0	secondary malignant neoplasm of lung		secondary malignant neoplasm of lung
DISEASE_CODE_PREV_CANCER	C18.0	malignant neoplasm of caecum		malignant neoplasm of caecum
DISEASE_CODE_PREV_CANCER	C18.4	malignant neoplasm of transverse colon		malignant neoplasm of transverse colon
DISEASE_CODE_PREV_CANCER	D01.0	carcinoma in situ of colon		carcinoma in situ of colon
DISEASE_CODE_PREV_CANCER	C18.5	malignant neoplasm of splenic flexure		malignant neoplasm of splenic flexure
DISEASE_CODE_PREV_CANCER	C79.5	secondary malignant neoplasm of bone and bone marrow		secondary malignant neoplasm of bone and bone marrow
DISEASE_CODE_PREV_CANCER	C92.1	chronic myeloid leukaemia		chronic myeloid leukaemia
DISEASE_CODE_PREV_CANCER	C23	malignant neoplasm of gallbladder		malignant neoplasm of gallbladder
DISEASE_CODE_PREV_CANCER	C61	malignant neoplasm of prostate		malignant neoplasm of prostate
DISEASE_CODE_PREV_CANCER	C79.8	secondary malignant neoplasm of other specified sites		secondary malignant neoplasm of other specified sites
DISEASE_CODE_PREV_CANCER	C44.9	malignant neoplasm of skin		malignant neoplasm of skin
DISEASE_CODE_PREV_CANCER	C34.1	malignant neoplasm of upper lobe of lung		malignant neoplasm of upper lobe of lung
PREV_CANCER_REMISSION	FULL	Full remission		Patient had full remission for his previous cancer
PREV_CANCER_REMISSION	NONE	No remission		Patient had no remission for his previous cancer
PREV_CANCER_REMISSION	PARTIAL	Partial remission		Patient had partial remission for his previous cancer
PREV_CANCER_TREATMENT	OPERATION	OPERATION		Patient underwent operation for his previous cancer
PREV_CANCER_TREATMENT	CHEMOTHERAPY	CHEMOTHERAPY		Patient underwent chemotherapy for his previous cancer
PREV_CANCER_TREATMENT	RADIATION	RADIATION		Patient underwent radiation for his previous cancer
PREV_CANCER_TREATMENT	HORMONE_THERAPY	HORMONE THERAPY		Patient underwent hormone therapy for his previous cancer
PREV_CANCER_TREATMENT	MISTLETOE	MISTLETOE		Patient underwent mistletoe treatment for his previous cancer
PREV_CANCER_TREATMENT	ANTIBODY_TREATMENT	ANTIBODY TREATMENT		Patient underwent antibody treatment for his previous cancer
FUP_CT_AGENT	Folinic acid	Folinic acid		Patient had Folinic acid as his follow up chemotherapy agent
FUP_CT_AGENT	5-Fluorouracil	5-Fluorouracil		Patient had 5-Fluorouracil as his follow up chemotherapy agent
FUP_CT_AGENT	Irinotecan	Irinotecan		Patient had Irinotecan as his follow up chemotherapy agent
FUP_CT_AGENT	Xelodan	Xelodan		Patient had Xelodan as his follow up chemotherapy agent
FUP_CT_AGENT	Oxaliplatin	Oxaliplatin		Patient had Oxaliplatin as his follow up chemotherapy agent
TIMEPOINT	1	1		Timepoint 1
TIMEPOINT	2	2		Timepoint 2
TIMEPOINT	3	3		Timepoint 3
TIMEPOINT	4	4		Timepoint 4
TIMEPOINT	5	5		Timepoint 5
TIMEPOINT	6	6		Timepoint 6
TIMEPOINT	7	7		Timepoint 7
TIMEPOINT	8	8		Timepoint 8
TIMEPOINT	9	9		Timepoint 9
TIMEPOINT	10	10		Timepoint 10
TIMEPOINT	11	11		Timepoint 11
TIMEPOINT	12	12		Timepoint 12
TIMEPOINT	13	13		Timepoint 13
SOURCE	CLINICAL	Clinical 		Clinical data
