FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ
2010104_crc_metabolomics_urine_neg_40.Rda	1.95_96.9647	1.95	96.9647
2010104_crc_metabolomics_urine_neg_40.Rda	2.0717_97.0648	2.0717	97.0648
2010104_crc_metabolomics_urine_neg_40.Rda	5.1915_97.0653	5.1915	97.0653
2010104_crc_metabolomics_urine_neg_40.Rda	1.4608_99.0439	1.4608	99.0439
2010104_crc_metabolomics_urine_neg_40.Rda	2.5282_100.0026	2.5282	100.0026
2010104_crc_metabolomics_urine_neg_40.Rda	3.6914_100.0027	3.6914	100.0027
2010104_crc_metabolomics_urine_neg_40.Rda	1.089_100.003	1.089	100.003
2010104_crc_metabolomics_urine_neg_40.Rda	0.9718_100.0031	0.9718	100.0031
2010104_crc_metabolomics_urine_neg_40.Rda	0.3487_100.0396	0.3487	100.0396
2010104_crc_metabolomics_urine_neg_40.Rda	5.8105_100.9322	5.8105	100.9322
2010104_crc_metabolomics_urine_neg_40.Rda	7.2262_100.9325	7.2262	100.9325
2010104_crc_metabolomics_urine_neg_40.Rda	8.3023_100.9325	8.3023	100.9325
2010104_crc_metabolomics_urine_neg_40.Rda	6.3277_100.9327	6.3277	100.9327
2010104_crc_metabolomics_urine_neg_40.Rda	8.0019_100.9327	8.0019	100.9327
2010104_crc_metabolomics_urine_neg_40.Rda	8.1593_100.9327	8.1593	100.9327
2010104_crc_metabolomics_urine_neg_40.Rda	8.4456_100.9329	8.4456	100.9329
2010104_crc_metabolomics_urine_neg_40.Rda	7.9162_100.9337	7.9162	100.9337
2010104_crc_metabolomics_urine_neg_40.Rda	0.3451_101.0234	0.3451	101.0234
2010104_crc_metabolomics_urine_neg_40.Rda	0.4287_101.0236	0.4287	101.0236
2010104_crc_metabolomics_urine_neg_40.Rda	1.1941_101.0591	1.1941	101.0591
2010104_crc_metabolomics_urine_neg_40.Rda	1.2856_101.0596	1.2856	101.0596
2010104_crc_metabolomics_urine_neg_40.Rda	0.2821_102.9564	0.2821	102.9564
2010104_crc_metabolomics_urine_neg_40.Rda	0.3283_103.0017	0.3283	103.0017
2010104_crc_metabolomics_urine_neg_40.Rda	0.5079_103.0391	0.5079	103.0391
2010104_crc_metabolomics_urine_neg_40.Rda	0.3608_103.0394	0.3608	103.0394
2010104_crc_metabolomics_urine_neg_40.Rda	0.3475_105.0182	0.3475	105.0182
2010104_crc_metabolomics_urine_neg_40.Rda	4.2578_106.0404	4.2578	106.0404
2010104_crc_metabolomics_urine_neg_40.Rda	2.4687_107.049	2.4687	107.049
2010104_crc_metabolomics_urine_neg_40.Rda	3.3069_107.049	3.3069	107.049
2010104_crc_metabolomics_urine_neg_40.Rda	2.8819_107.0491	2.8819	107.0491
2010104_crc_metabolomics_urine_neg_40.Rda	0.3031_108.9015	0.3031	108.9015
2010104_crc_metabolomics_urine_neg_40.Rda	0.3079_110.9003	0.3079	110.9003
2010104_crc_metabolomics_urine_neg_40.Rda	2.552_111.0068	2.552	111.0068
2010104_crc_metabolomics_urine_neg_40.Rda	0.3489_111.0077	0.3489	111.0077
2010104_crc_metabolomics_urine_neg_40.Rda	0.4177_111.0079	0.4177	111.0079
2010104_crc_metabolomics_urine_neg_40.Rda	2.9578_111.0789	2.9578	111.0789
2010104_crc_metabolomics_urine_neg_40.Rda	3.0659_111.0802	3.0659	111.0802
2010104_crc_metabolomics_urine_neg_40.Rda	0.6963_112.0137	0.6963	112.0137
2010104_crc_metabolomics_urine_neg_40.Rda	0.3027_112.0495	0.3027	112.0495
2010104_crc_metabolomics_urine_neg_40.Rda	0.5698_112.9366	0.5698	112.9366
2010104_crc_metabolomics_urine_neg_40.Rda	0.6686_112.9371	0.6686	112.9371
2010104_crc_metabolomics_urine_neg_40.Rda	4.593_112.9836	4.593	112.9836
2010104_crc_metabolomics_urine_neg_40.Rda	2.6535_112.9837	2.6535	112.9837
2010104_crc_metabolomics_urine_neg_40.Rda	8.4104_112.9838	8.4104	112.9838
2010104_crc_metabolomics_urine_neg_40.Rda	2.941_112.9839	2.941	112.9839
2010104_crc_metabolomics_urine_neg_40.Rda	7.9994_112.9839	7.9994	112.9839
2010104_crc_metabolomics_urine_neg_40.Rda	8.3402_112.9839	8.3402	112.9839
2010104_crc_metabolomics_urine_neg_40.Rda	5.1459_112.9841	5.1459	112.9841
2010104_crc_metabolomics_urine_neg_40.Rda	3.2644_112.9841	3.2644	112.9841
2010104_crc_metabolomics_urine_neg_40.Rda	3.4603_112.9842	3.4603	112.9842
2010104_crc_metabolomics_urine_neg_40.Rda	4.0409_112.9844	4.0409	112.9844
2010104_crc_metabolomics_urine_neg_40.Rda	4.3504_112.9844	4.3504	112.9844
2010104_crc_metabolomics_urine_neg_40.Rda	0.267_112.9845	0.267	112.9845
2010104_crc_metabolomics_urine_neg_40.Rda	4.2633_112.985	4.2633	112.985
2010104_crc_metabolomics_urine_neg_40.Rda	4.8416_112.9854	4.8416	112.9854
2010104_crc_metabolomics_urine_neg_40.Rda	5.0564_113.0224	5.0564	113.0224
2010104_crc_metabolomics_urine_neg_40.Rda	3.7268_113.0226	3.7268	113.0226
2010104_crc_metabolomics_urine_neg_40.Rda	5.2189_113.0227	5.2189	113.0227
2010104_crc_metabolomics_urine_neg_40.Rda	4.9275_113.0228	4.9275	113.0228
2010104_crc_metabolomics_urine_neg_40.Rda	3.4713_113.023	3.4713	113.023
2010104_crc_metabolomics_urine_neg_40.Rda	5.5509_113.023	5.5509	113.023
2010104_crc_metabolomics_urine_neg_40.Rda	2.6593_113.023	2.6593	113.023
2010104_crc_metabolomics_urine_neg_40.Rda	4.6859_113.0231	4.6859	113.0231
2010104_crc_metabolomics_urine_neg_40.Rda	5.4162_113.0231	5.4162	113.0231
2010104_crc_metabolomics_urine_neg_40.Rda	2.5342_113.0231	2.5342	113.0231
2010104_crc_metabolomics_urine_neg_40.Rda	3.5914_113.0232	3.5914	113.0232
2010104_crc_metabolomics_urine_neg_40.Rda	2.9279_113.0232	2.9279	113.0232
2010104_crc_metabolomics_urine_neg_40.Rda	1.805_113.0233	1.805	113.0233
2010104_crc_metabolomics_urine_neg_40.Rda	4.174_113.0233	4.174	113.0233
2010104_crc_metabolomics_urine_neg_40.Rda	1.8029_113.0593	1.8029	113.0593
2010104_crc_metabolomics_urine_neg_40.Rda	1.4706_113.0595	1.4706	113.0595
2010104_crc_metabolomics_urine_neg_40.Rda	2.4509_113.0598	2.4509	113.0598
2010104_crc_metabolomics_urine_neg_40.Rda	4.2453_113.0959	4.2453	113.0959
2010104_crc_metabolomics_urine_neg_40.Rda	2.9815_114.0169	2.9815	114.0169
2010104_crc_metabolomics_urine_neg_40.Rda	0.2475_114.9874	0.2475	114.9874
2010104_crc_metabolomics_urine_neg_40.Rda	0.3305_115.0027	0.3305	115.0027
2010104_crc_metabolomics_urine_neg_40.Rda	0.7878_115.0388	0.7878	115.0388
2010104_crc_metabolomics_urine_neg_40.Rda	2.0714_115.0751	2.0714	115.0751
2010104_crc_metabolomics_urine_neg_40.Rda	6.3461_115.919	6.3461	115.919
2010104_crc_metabolomics_urine_neg_40.Rda	8.3608_115.9194	8.3608	115.9194
2010104_crc_metabolomics_urine_neg_40.Rda	7.847_115.9194	7.847	115.9194
2010104_crc_metabolomics_urine_neg_40.Rda	8.1628_115.9195	8.1628	115.9195
2010104_crc_metabolomics_urine_neg_40.Rda	5.5806_115.9198	5.5806	115.9198
2010104_crc_metabolomics_urine_neg_40.Rda	5.0883_115.9198	5.0883	115.9198
2010104_crc_metabolomics_urine_neg_40.Rda	8.2782_115.92	8.2782	115.92
2010104_crc_metabolomics_urine_neg_40.Rda	8.457_115.92	8.457	115.92
2010104_crc_metabolomics_urine_neg_40.Rda	0.2662_115.9893	0.2662	115.9893
2010104_crc_metabolomics_urine_neg_40.Rda	3.637_116.0319	3.637	116.0319
2010104_crc_metabolomics_urine_neg_40.Rda	1.4085_116.0335	1.4085	116.0335
2010104_crc_metabolomics_urine_neg_40.Rda	0.3446_116.0335	0.3446	116.0335
2010104_crc_metabolomics_urine_neg_40.Rda	1.0993_116.0698	1.0993	116.0698
2010104_crc_metabolomics_urine_neg_40.Rda	7.3992_116.9269	7.3992	116.9269
2010104_crc_metabolomics_urine_neg_40.Rda	7.7347_116.9269	7.7347	116.9269
2010104_crc_metabolomics_urine_neg_40.Rda	4.7151_116.927	4.7151	116.927
2010104_crc_metabolomics_urine_neg_40.Rda	5.695_116.9271	5.695	116.9271
2010104_crc_metabolomics_urine_neg_40.Rda	8.0176_116.9271	8.0176	116.9271
2010104_crc_metabolomics_urine_neg_40.Rda	6.7063_116.9271	6.7063	116.9271
2010104_crc_metabolomics_urine_neg_40.Rda	5.0952_116.9271	5.0952	116.9271
2010104_crc_metabolomics_urine_neg_40.Rda	7.8421_116.9272	7.8421	116.9272
2010104_crc_metabolomics_urine_neg_40.Rda	8.1521_116.9272	8.1521	116.9272
2010104_crc_metabolomics_urine_neg_40.Rda	7.2102_116.9272	7.2102	116.9272
2010104_crc_metabolomics_urine_neg_40.Rda	5.3162_116.9272	5.3162	116.9272
2010104_crc_metabolomics_urine_neg_40.Rda	7.9496_116.9272	7.9496	116.9272
2010104_crc_metabolomics_urine_neg_40.Rda	7.6072_116.9272	7.6072	116.9272
2010104_crc_metabolomics_urine_neg_40.Rda	6.5356_116.9272	6.5356	116.9272
2010104_crc_metabolomics_urine_neg_40.Rda	8.4344_116.9272	8.4344	116.9272
2010104_crc_metabolomics_urine_neg_40.Rda	6.87_116.9273	6.87	116.9273
2010104_crc_metabolomics_urine_neg_40.Rda	4.9327_116.9273	4.9327	116.9273
2010104_crc_metabolomics_urine_neg_40.Rda	6.3197_116.9273	6.3197	116.9273
2010104_crc_metabolomics_urine_neg_40.Rda	5.8264_116.9273	5.8264	116.9273
2010104_crc_metabolomics_urine_neg_40.Rda	8.2568_116.9273	8.2568	116.9273
2010104_crc_metabolomics_urine_neg_40.Rda	5.9898_116.9273	5.9898	116.9273
2010104_crc_metabolomics_urine_neg_40.Rda	5.5232_116.9273	5.5232	116.9273
2010104_crc_metabolomics_urine_neg_40.Rda	6.1187_116.9275	6.1187	116.9275
2010104_crc_metabolomics_urine_neg_40.Rda	6.4345_116.9275	6.4345	116.9275
2010104_crc_metabolomics_urine_neg_40.Rda	7.0371_116.9275	7.0371	116.9275
2010104_crc_metabolomics_urine_neg_40.Rda	4.8241_116.928	4.8241	116.928
2010104_crc_metabolomics_urine_neg_40.Rda	0.269_116.9863	0.269	116.9863
2010104_crc_metabolomics_urine_neg_40.Rda	0.3277_117.0182	0.3277	117.0182
2010104_crc_metabolomics_urine_neg_40.Rda	0.715_117.0542	0.715	117.0542
2010104_crc_metabolomics_urine_neg_40.Rda	0.9908_117.0542	0.9908	117.0542
2010104_crc_metabolomics_urine_neg_40.Rda	1.2096_117.0546	1.2096	117.0546
2010104_crc_metabolomics_urine_neg_40.Rda	3.9405_118.0318	3.9405	118.0318
2010104_crc_metabolomics_urine_neg_40.Rda	2.0241_118.0458	2.0241	118.0458
2010104_crc_metabolomics_urine_neg_40.Rda	0.293_118.9303	0.293	118.9303
2010104_crc_metabolomics_urine_neg_40.Rda	0.4283_118.9411	0.4283	118.9411
2010104_crc_metabolomics_urine_neg_40.Rda	0.3321_119.0336	0.3321	119.0336
2010104_crc_metabolomics_urine_neg_40.Rda	0.3075_119.9458	0.3075	119.9458
2010104_crc_metabolomics_urine_neg_40.Rda	4.7083_120.0108	4.7083	120.0108
2010104_crc_metabolomics_urine_neg_40.Rda	3.9346_120.0116	3.9346	120.0116
2010104_crc_metabolomics_urine_neg_40.Rda	1.5239_121.028	1.5239	121.028
2010104_crc_metabolomics_urine_neg_40.Rda	0.8244_121.0282	0.8244	121.0282
2010104_crc_metabolomics_urine_neg_40.Rda	0.9106_121.0285	0.9106	121.0285
2010104_crc_metabolomics_urine_neg_40.Rda	4.2743_121.0643	4.2743	121.0643
2010104_crc_metabolomics_urine_neg_40.Rda	2.9785_121.0646	2.9785	121.0646
2010104_crc_metabolomics_urine_neg_40.Rda	3.8012_122.0233	3.8012	122.0233
2010104_crc_metabolomics_urine_neg_40.Rda	0.355_122.0238	0.355	122.0238
2010104_crc_metabolomics_urine_neg_40.Rda	3.9015_122.024	3.9015	122.024
2010104_crc_metabolomics_urine_neg_40.Rda	3.2743_123.0801	3.2743	123.0801
2010104_crc_metabolomics_urine_neg_40.Rda	0.3176_124.008	0.3176	124.008
2010104_crc_metabolomics_urine_neg_40.Rda	0.35_124.9905	0.35	124.9905
2010104_crc_metabolomics_urine_neg_40.Rda	0.2947_124.9906	0.2947	124.9906
2010104_crc_metabolomics_urine_neg_40.Rda	1.3943_125.0229	1.3943	125.0229
2010104_crc_metabolomics_urine_neg_40.Rda	3.0655_125.0902	3.0655	125.0902
2010104_crc_metabolomics_urine_neg_40.Rda	2.9728_126.0183	2.9728	126.0183
2010104_crc_metabolomics_urine_neg_40.Rda	0.7062_126.0297	0.7062	126.0297
2010104_crc_metabolomics_urine_neg_40.Rda	2.7185_126.0908	2.7185	126.0908
2010104_crc_metabolomics_urine_neg_40.Rda	1.5486_126.9053	1.5486	126.9053
2010104_crc_metabolomics_urine_neg_40.Rda	1.6124_126.9054	1.6124	126.9054
2010104_crc_metabolomics_urine_neg_40.Rda	1.4035_126.9061	1.4035	126.9061
2010104_crc_metabolomics_urine_neg_40.Rda	0.3255_126.9062	0.3255	126.9062
2010104_crc_metabolomics_urine_neg_40.Rda	0.7975_126.9065	0.7975	126.9065
2010104_crc_metabolomics_urine_neg_40.Rda	0.3626_127.0027	0.3626	127.0027
2010104_crc_metabolomics_urine_neg_40.Rda	3.0824_127.0085	3.0824	127.0085
2010104_crc_metabolomics_urine_neg_40.Rda	1.4235_127.0384	1.4235	127.0384
2010104_crc_metabolomics_urine_neg_40.Rda	1.2912_127.0388	1.2912	127.0388
2010104_crc_metabolomics_urine_neg_40.Rda	2.1108_127.0484	2.1108	127.0484
2010104_crc_metabolomics_urine_neg_40.Rda	2.2809_127.0494	2.2809	127.0494
2010104_crc_metabolomics_urine_neg_40.Rda	0.3453_127.0496	0.3453	127.0496
2010104_crc_metabolomics_urine_neg_40.Rda	2.6971_127.0749	2.6971	127.0749
2010104_crc_metabolomics_urine_neg_40.Rda	5.0935_128.0335	5.0935	128.0335
2010104_crc_metabolomics_urine_neg_40.Rda	3.6044_128.0336	3.6044	128.0336
2010104_crc_metabolomics_urine_neg_40.Rda	3.5423_128.0337	3.5423	128.0337
2010104_crc_metabolomics_urine_neg_40.Rda	0.4181_128.0337	0.4181	128.0337
2010104_crc_metabolomics_urine_neg_40.Rda	0.3495_128.0339	0.3495	128.0339
2010104_crc_metabolomics_urine_neg_40.Rda	1.7313_128.0342	1.7313	128.0342
2010104_crc_metabolomics_urine_neg_40.Rda	0.4597_129.018	0.4597	129.018
2010104_crc_metabolomics_urine_neg_40.Rda	0.3442_129.0181	0.3442	129.0181
2010104_crc_metabolomics_urine_neg_40.Rda	3.1502_129.0539	3.1502	129.0539
2010104_crc_metabolomics_urine_neg_40.Rda	1.69_129.054	1.69	129.054
2010104_crc_metabolomics_urine_neg_40.Rda	1.9207_129.0542	1.9207	129.0542
2010104_crc_metabolomics_urine_neg_40.Rda	0.3604_130.021	0.3604	130.021
2010104_crc_metabolomics_urine_neg_40.Rda	3.8051_130.0636	3.8051	130.0636
2010104_crc_metabolomics_urine_neg_40.Rda	3.6336_130.0651	3.6336	130.0651
2010104_crc_metabolomics_urine_neg_40.Rda	2.7211_130.0826	2.7211	130.0826
2010104_crc_metabolomics_urine_neg_40.Rda	2.5362_130.085	2.5362	130.085
2010104_crc_metabolomics_urine_neg_40.Rda	3.7492_130.9645	3.7492	130.9645
2010104_crc_metabolomics_urine_neg_40.Rda	4.4683_130.9649	4.4683	130.9649
2010104_crc_metabolomics_urine_neg_40.Rda	5.5456_130.9657	5.5456	130.9657
2010104_crc_metabolomics_urine_neg_40.Rda	3.4254_130.9657	3.4254	130.9657
2010104_crc_metabolomics_urine_neg_40.Rda	4.709_130.9657	4.709	130.9657
2010104_crc_metabolomics_urine_neg_40.Rda	5.3701_130.966	5.3701	130.966
2010104_crc_metabolomics_urine_neg_40.Rda	3.2555_130.966	3.2555	130.966
2010104_crc_metabolomics_urine_neg_40.Rda	3.9362_130.966	3.9362	130.966
2010104_crc_metabolomics_urine_neg_40.Rda	5.2482_130.9663	5.2482	130.9663
2010104_crc_metabolomics_urine_neg_40.Rda	4.9044_130.9674	4.9044	130.9674
2010104_crc_metabolomics_urine_neg_40.Rda	0.2509_130.9678	0.2509	130.9678
2010104_crc_metabolomics_urine_neg_40.Rda	3.0293_130.969	3.0293	130.969
2010104_crc_metabolomics_urine_neg_40.Rda	3.6394_130.9707	3.6394	130.9707
2010104_crc_metabolomics_urine_neg_40.Rda	3.1345_130.9709	3.1345	130.9709
2010104_crc_metabolomics_urine_neg_40.Rda	1.303_130.971	1.303	130.971
2010104_crc_metabolomics_urine_neg_40.Rda	2.8378_130.9712	2.8378	130.9712
2010104_crc_metabolomics_urine_neg_40.Rda	2.9144_130.9717	2.9144	130.9717
2010104_crc_metabolomics_urine_neg_40.Rda	5.0939_130.9719	5.0939	130.9719
2010104_crc_metabolomics_urine_neg_40.Rda	4.5944_130.972	4.5944	130.972
2010104_crc_metabolomics_urine_neg_40.Rda	1.9369_130.9728	1.9369	130.9728
2010104_crc_metabolomics_urine_neg_40.Rda	0.3412_130.9968	0.3412	130.9968
2010104_crc_metabolomics_urine_neg_40.Rda	0.8791_131.0335	0.8791	131.0335
2010104_crc_metabolomics_urine_neg_40.Rda	0.7902_131.0336	0.7902	131.0336
2010104_crc_metabolomics_urine_neg_40.Rda	1.0105_131.034	1.0105	131.034
2010104_crc_metabolomics_urine_neg_40.Rda	0.3099_131.0351	0.3099	131.0351
2010104_crc_metabolomics_urine_neg_40.Rda	2.0017_131.0692	2.0017	131.0692
2010104_crc_metabolomics_urine_neg_40.Rda	2.2817_131.0703	2.2817	131.0703
2010104_crc_metabolomics_urine_neg_40.Rda	1.2656_131.0705	1.2656	131.0705
2010104_crc_metabolomics_urine_neg_40.Rda	0.3263_132.0283	0.3263	132.0283
2010104_crc_metabolomics_urine_neg_40.Rda	1.9298_132.0445	1.9298	132.0445
2010104_crc_metabolomics_urine_neg_40.Rda	0.3433_132.0638	0.3433	132.0638
2010104_crc_metabolomics_urine_neg_40.Rda	0.3257_133.0118	0.3257	133.0118
2010104_crc_metabolomics_urine_neg_40.Rda	0.3447_133.0487	0.3447	133.0487
2010104_crc_metabolomics_urine_neg_40.Rda	1.9385_134.0599	1.9385	134.0599
2010104_crc_metabolomics_urine_neg_40.Rda	0.3192_135.0282	0.3192	135.0282
2010104_crc_metabolomics_urine_neg_40.Rda	3.6038_135.0798	3.6038	135.0798
2010104_crc_metabolomics_urine_neg_40.Rda	1.5213_136.0493	1.5213	136.0493
2010104_crc_metabolomics_urine_neg_40.Rda	3.4036_136.0507	3.4036	136.0507
2010104_crc_metabolomics_urine_neg_40.Rda	7.4868_136.9891	7.4868	136.9891
2010104_crc_metabolomics_urine_neg_40.Rda	2.9059_137.0069	2.9059	137.0069
2010104_crc_metabolomics_urine_neg_40.Rda	1.5545_137.0225	1.5545	137.0225
2010104_crc_metabolomics_urine_neg_40.Rda	1.1111_137.0225	1.1111	137.0225
2010104_crc_metabolomics_urine_neg_40.Rda	1.0438_137.0233	1.0438	137.0233
2010104_crc_metabolomics_urine_neg_40.Rda	4.4479_137.0951	4.4479	137.0951
2010104_crc_metabolomics_urine_neg_40.Rda	0.3458_138.0532	0.3458	138.0532
2010104_crc_metabolomics_urine_neg_40.Rda	1.7746_138.0543	1.7746	138.0543
2010104_crc_metabolomics_urine_neg_40.Rda	0.3227_139.0505	0.3227	139.0505
2010104_crc_metabolomics_urine_neg_40.Rda	2.8239_139.0748	2.8239	139.0748
2010104_crc_metabolomics_urine_neg_40.Rda	2.8852_139.11	2.8852	139.11
2010104_crc_metabolomics_urine_neg_40.Rda	4.8107_139.111	4.8107	139.111
2010104_crc_metabolomics_urine_neg_40.Rda	0.6827_140.0447	0.6827	140.0447
2010104_crc_metabolomics_urine_neg_40.Rda	1.4204_141.0008	1.4204	141.0008
2010104_crc_metabolomics_urine_neg_40.Rda	3.6503_141.0901	3.6503	141.0901
2010104_crc_metabolomics_urine_neg_40.Rda	3.4964_141.0902	3.4964	141.0902
2010104_crc_metabolomics_urine_neg_40.Rda	4.3491_141.0903	4.3491	141.0903
2010104_crc_metabolomics_urine_neg_40.Rda	3.5556_141.0904	3.5556	141.0904
2010104_crc_metabolomics_urine_neg_40.Rda	3.2743_141.0908	3.2743	141.0908
2010104_crc_metabolomics_urine_neg_40.Rda	0.6445_142.0487	0.6445	142.0487
2010104_crc_metabolomics_urine_neg_40.Rda	0.344_142.0493	0.344	142.0493
2010104_crc_metabolomics_urine_neg_40.Rda	3.6911_142.0648	3.6911	142.0648
2010104_crc_metabolomics_urine_neg_40.Rda	0.3141_142.9969	0.3141	142.9969
