TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION
AGE_RANGE	30-34	30-34		30-34
AGE_RANGE	70-74	70-74		70-74
AGE_RANGE	50-54	50-54		50-54
AGE_RANGE	40-44	40-44		40-44
AGE_RANGE	65-69	65-69		65-69
AGE_RANGE	25-29	25-29		25-29
AGE_RANGE	35-39	35-39		35-39
AGE_RANGE	20-24	20-24		20-24
AGE_RANGE	85-89	85-89		85-89
AGE_RANGE	15-19	15-19		15-19
AGE_RANGE	14-Oct	14-Oct		14-Oct
AGE_RANGE	55-59	55-59		55-59
AGE_RANGE	75-79	75-79		75-79
AGE_RANGE	80-84	80-84		80-84
DISEASE_TYPE	GBM	GBM		GBM
DISEASE_TYPE	UNKNOWN	UNKNOWN		UNKNOWN
DISEASE_TYPE	ASTROCYTOMA	ASTROCYTOMA		ASTROCYTOMA
DISEASE_TYPE	MIXED	MIXED		MIXED
DISEASE_TYPE	NON_TUMOR	NON_TUMOR		NON_TUMOR
DISEASE_TYPE	OLIGODENDROGLIOMA	OLIGODENDROGLIOMA		OLIGODENDROGLIOMA
DISEASE_TYPE	UNCLASSIFIED	UNCLASSIFIED		UNCLASSIFIED
WHO_GRADE	IV	IV		IV
WHO_GRADE	II	II		II
WHO_GRADE	III	III		III
WHO_GRADE	I	I		I
INSTITUTION_NAME	HENRY FORD HOSPITAL (RETRO)	HENRY FORD HOSPITAL (RETRO)		HENRY FORD HOSPITAL (RETRO)
INSTITUTION_NAME	NABTT/HENRY FORD HOSPITAL	NABTT/HENRY FORD HOSPITAL		NABTT/HENRY FORD HOSPITAL
INSTITUTION_NAME	NABTT/H. LEE MOFFITT CANCER CENTER	NABTT/H. LEE MOFFITT CANCER CENTER		NABTT/H. LEE MOFFITT CANCER CENTER
INSTITUTION_NAME	UCSF	UCSF		UCSF
INSTITUTION_NAME	UNIV OF PITTSBURGH	UNIV OF PITTSBURGH		UNIV OF PITTSBURGH
INSTITUTION_NAME	NIH NEURO-ONCOLOGY BRANCH	NIH NEURO-ONCOLOGY BRANCH		NIH NEURO-ONCOLOGY BRANCH
INSTITUTION_NAME	DANA-FARBER CANCER INSTITUTE	DANA-FARBER CANCER INSTITUTE		DANA-FARBER CANCER INSTITUTE
INSTITUTION_NAME	TJU	TJU		TJU
INSTITUTION_NAME	UCLA SCHOOL OF MEDICINE	UCLA SCHOOL OF MEDICINE		UCLA SCHOOL OF MEDICINE
INSTITUTION_NAME	UNIVERSITY OF WISCONSIN	UNIVERSITY OF WISCONSIN		UNIVERSITY OF WISCONSIN
INSTITUTION_NAME	M. D. ANDERSON CANCER CENTER	M. D. ANDERSON CANCER CENTER		M. D. ANDERSON CANCER CENTER
INSTITUTION_NAME	NABTT/JOHNS HOPKINS	NABTT/JOHNS HOPKINS		NABTT/JOHNS HOPKINS
INSTITUTION_NAME	H. LEE MOFFITT CANCER CENTER	H. LEE MOFFITT CANCER CENTER		H. LEE MOFFITT CANCER CENTER
INSTITUTION_NAME	HENRY FORD HOSPITAL	HENRY FORD HOSPITAL		HENRY FORD HOSPITAL
INSTITUTION_NAME	NABTT/MASSACHUSETTS GENERAL HOSPITAL	NABTT/MASSACHUSETTS GENERAL HOSPITAL		NABTT/MASSACHUSETTS GENERAL HOSPITAL
INSTITUTION_NAME	MSKCC/NEW YORK	MSKCC/NEW YORK		MSKCC/NEW YORK
GENE_EXP	YES	YES		YES
GENE_EXP	NO	NO		NO
COPY_NUMBER	YES	YES		YES
COPY_NUMBER	NO	NO		NO
KARNOFSKY	100%	100% - normal, no complaints, no signs of disease		100% - normal, no complaints, no signs of disease
KARNOFSKY	0%	0% - death		0% - death
KARNOFSKY	40%	40% - Disabled		40% - Disabled; requires special care and assistance
KARNOFSKY	60%	60% - Requires occasional assistance		60% - Requires occasional assistance, but is able to care for most of his needs
KARNOFSKY	80%	80% - Normal activity with effort		80% - Normal activity with effort; some signs of symptoms of disease
KARNOFSKY	10%	10% - Moribund		10% - Moribund
KARNOFSKY	20%	20% - Very sick, hospital treatment necessary		20% - Very sick, hospital treatment necessary
KARNOFSKY	30%	30% - Severely disabled		30% - Severely disabled
KARNOFSKY	50%	50% - Requires considerable assistance and frequent medical care		50% - Requires considerable assistance and frequent medical care
KARNOFSKY	70%	70% - Cares for self, unable to carry on normal activity		70% - Cares for self, unable to carry on normal activity
KARNOFSKY	90%	90% - Able to carry on normal activity, minor signs of disease		90% - Able to carry on normal activity, minor signs of disease
EVENT_OS	1	EVENT		1 stands for EVENT indicating death of patient
EVENT_OS	0	CENSORING		0 stands for CENSORING meaning there was no record of death
NEURO_EXAM_SCORE	+2 Definitely better	+2 Definitely better		+2 Definitely better
NEURO_EXAM_SCORE	+1 Possibly better	+1 Possibly better		+1 Possibly better
NEURO_EXAM_SCORE	0 Stable	0 Stable		0 Stable
NEURO_EXAM_SCORE	-1 Possibly worse	-1 Possibly worse		-1 Possibly worse
NEURO_EXAM_SCORE	-2 Definitely worse	-2 Definitely worse		-2 Definitely worse
DISEASE_EVAL_MRI	+3 Disappearance of tumor (CR)•À_	+3 Disappearance of tumor (CR)		+3 Disappearance of tumor (CR)
DISEASE_EVAL_MRI	+2 Definitely better (PR)•À_	+2 Definitely better (PR)		+2 Definitely better (PR)
DISEASE_EVAL_MRI	+1 Possibly better	+1 Possibly better		+1 Possibly better
DISEASE_EVAL_MRI	0 Unchanged	0 Unchanged		0 Unchanged
DISEASE_EVAL_MRI	-1 Possibly worse	-1 Possibly worse		-1 Possibly worse
DISEASE_EVAL_MRI	-2 Definitely worse (PD)•À_	-2 Definitely worse (PD)		-2 Definitely worse (PD)
DISEASE_EVAL_MRI	-3 Development of new lesion (PD)	-3 Development of new lesion (PD)		-3 Development of new lesion (PD)
STEROID_DOSE_STATUS	STABLE	STABLE		STABLE
STEROID_DOSE_STATUS	NONE	NONE		NONE
STEROID_DOSE_STATUS	INCREASE	INCREASE		INCREASE
STEROID_DOSE_STATUS	UNKNOWN	UNKNOWN		UNKNOWN
STEROID_DOSE_STATUS	DECREASE	DECREASE		DECREASE
STEROID_DOSE_STATUS	NASS	NASS		NASS
ANTI_CONVULSANT_STATUS	YES	YES		YES
ANTI_CONVULSANT_STATUS	NO	NO		NO
ANTI_CONVULSANT_STATUS	UNKNOWN	UNKNOWN		UNKNOWN
ANTI_CONVULSANT_STATUS	NASS	NASS		NASS
PRIOR_THERAPY_RADIATION_TYPE	PHOTON	PHOTON		PHOTON
PRIOR_THERAPY_RADIATION_TYPE	RADIOSURGERY	RADIOSURGERY		RADIOSURGERY
PRIOR_THERAPY_RADIATION_TYPE	3D CONFORMAL	3D CONFORMAL		3D CONFORMAL
PRIOR_THERAPY_RADIATION_TYPE	IMRT	IMRT		IMRT
PRIOR_THERAPY_RADIATION_TYPE	BRACHYTHERAPY	BRACHYTHERAPY		BRACHYTHERAPY
PRIOR_THERAPY_CHEMO_AGENT_NAME	osi-774	osi-774		osi-774
PRIOR_THERAPY_CHEMO_AGENT_NAME	lomustine	lomustine		lomustine
PRIOR_THERAPY_CHEMO_AGENT_NAME	bcnu	bcnu		bcnu
PRIOR_THERAPY_CHEMO_AGENT_NAME	tamoxifen citrate	tamoxifen citrate		tamoxifen citrate
PRIOR_THERAPY_CHEMO_AGENT_NAME	cc-5013	cc-5013		cc-5013
PRIOR_THERAPY_CHEMO_AGENT_NAME	cyclophosphamide	cyclophosphamide		cyclophosphamide
PRIOR_THERAPY_CHEMO_AGENT_NAME	procarbazine	procarbazine		procarbazine
PRIOR_THERAPY_CHEMO_AGENT_NAME	vincristine	vincristine		vincristine
PRIOR_THERAPY_CHEMO_AGENT_NAME	temozolomide	temozolomide		temozolomide
PRIOR_THERAPY_CHEMO_AGENT_NAME	thalidomide	thalidomide		thalidomide
PRIOR_THERAPY_CHEMO_AGENT_NAME	zd1839	zd1839		zd1839
PRIOR_THERAPY_CHEMO_AGENT_NAME	Accutane (isotretinoin)	Accutane (isotretinoin)		Accutane (isotretinoin)
PRIOR_THERAPY_CHEMO_AGENT_NAME	cpt-11	cpt-11		cpt-11
PRIOR_THERAPY_CHEMO_AGENT_NAME	CCNU	CCNU		CCNU
PRIOR_THERAPY_CHEMO_AGENT_NAME	daunorubicin	daunorubicin		daunorubicin
PRIOR_THERAPY_CHEMO_AGENT_NAME	13-cis retinoic acid	13-cis retinoic acid		13-cis retinoic acid
PRIOR_THERAPY_CHEMO_AGENT_NAME	r115777	r115777		r115777
PRIOR_THERAPY_CHEMO_AGENT_NAME	sti571	sti571		sti571
PRIOR_THERAPY_CHEMO_AGENT_NAME	HBOC-201	HBOC-201		HBOC-201
PRIOR_THERAPY_CHEMO_AGENT_NAME	AEE788	AEE788		AEE788
PRIOR_THERAPY_CHEMO_AGENT_NAME	rapamycin	rapamycin		rapamycin
PRIOR_THERAPY_CHEMO_AGENT_NAME	Celebrex(Celecoxib)	Celebrex(Celecoxib)		Celebrex(Celecoxib)
PRIOR_THERAPY_CHEMO_AGENT_NAME	temodal	temodal		temodal
PRIOR_THERAPY_CHEMO_AGENT_NAME	BCNU-Wafer	BCNU-Wafer		BCNU-Wafer
PRIOR_THERAPY_CHEMO_AGENT_NAME	gw572016	gw572016		gw572016
PRIOR_THERAPY_CHEMO_AGENT_NAME	Carmustine	Carmustine		Carmustine
PRIOR_THERAPY_CHEMO_AGENT_NAME	hydroxyurea	hydroxyurea		hydroxyurea
PRIOR_THERAPY_CHEMO_AGENT_NAME	tarceva	tarceva		tarceva
PRIOR_THERAPY_CHEMO_AGENT_NAME	vaccinia	vaccinia		vaccinia
PRIOR_THERAPY_CHEMO_AGENT_NAME	ly317615	ly317615		ly317615
PRIOR_THERAPY_CHEMO_AGENT_NAME	carboplatin	carboplatin		carboplatin
PRIOR_THERAPY_CHEMO_AGENT_NAME	zarnestra	zarnestra		zarnestra
PRIOR_THERAPY_PROCEDURE	CRANIOTOMY OPEN RESECTION	CRANIOTOMY OPEN RESECTION		CRANIOTOMY OPEN RESECTION
PRIOR_THERAPY_PROCEDURE	STEREOTACTIC BIOPSY	STEREOTACTIC BIOPSY		STEREOTACTIC BIOPSY
PRIOR_THERAPY_PROCEDURE	CRANIOTOMY OPEN BIOPSY	CRANIOTOMY OPEN BIOPSY		CRANIOTOMY OPEN BIOPSY
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	ANAPLASTIC ASTROCYTOMA	ANAPLASTIC ASTROCYTOMA		ANAPLASTIC ASTROCYTOMA
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	OLIGOASTROCYTOMA	OLIGOASTROCYTOMA		OLIGOASTROCYTOMA
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	ASTROCYTOMA	ASTROCYTOMA		ASTROCYTOMA
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	GLIOBLASTOMA MULTIFORME	GLIOBLASTOMA MULTIFORME		GLIOBLASTOMA MULTIFORME
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	NEUROBLASTOMA NOS	NEUROBLASTOMA NOS		NEUROBLASTOMA NOS
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	MALIGNANT NEOPLASM NOS	MALIGNANT NEOPLASM NOS		MALIGNANT NEOPLASM NOS
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	OLIGODENDROGLIOMA	OLIGODENDROGLIOMA		OLIGODENDROGLIOMA
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	GANGLIONEUROMA	GANGLIONEUROMA		GANGLIONEUROMA
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	GLIOMA	GLIOMA		GLIOMA
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	TBD	TBD		TBD
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	ASTROCYTOMA MALIGNANT NOS	ASTROCYTOMA MALIGNANT NOS		ASTROCYTOMA MALIGNANT NOS
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	NEOPLASM RECURRENCE NOS	NEOPLASM RECURRENCE NOS		NEOPLASM RECURRENCE NOS
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	CHOROID PLEXUS PAPILLOMA	CHOROID PLEXUS PAPILLOMA		CHOROID PLEXUS PAPILLOMA
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	GLIOBLASTOMA	GLIOBLASTOMA		GLIOBLASTOMA
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	OTHER-SPECIFY	OTHER-SPECIFY		OTHER-SPECIFY
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	CARCINOMA NOS	CARCINOMA NOS		CARCINOMA NOS
PRIOR_THERAPY_SURGERY_TUMOR_HISTOLOGY	EPENDYMOMA	EPENDYMOMA		EPENDYMOMA
PRIOR_THERAPY_SURGERY_OUTCOME	PR - PARTIAL RESECTION	PR - PARTIAL RESECTION		PR - PARTIAL RESECTION
PRIOR_THERAPY_SURGERY_OUTCOME	CR - COMPLETE RESECTION	CR - COMPLETE RESECTION		CR - COMPLETE RESECTION
PRIOR_THERAPY_SURGERY_OUTCOME	BX - BIOPSY ONLY	BX - BIOPSY ONLY		BX - BIOPSY ONLY
PRIOR_THERAPY_SURGERY_OUTCOME	UNCLASSIFIED	UNCLASSIFIED		UNCLASSIFIED
PRIOR_THERAPY_SURGERY_OUTCOME	GLIOBLASTOMA MULTIFORME	GLIOBLASTOMA MULTIFORME		GLIOBLASTOMA MULTIFORME
PRIOR_THERAPY_SURGERY_OUTCOME	ASTROCYTOMA MALIGNANT NOS	ASTROCYTOMA MALIGNANT NOS		ASTROCYTOMA MALIGNANT NOS
PRIOR_THERAPY_SURGERY_OUTCOME	ASTROCYTOMA	ASTROCYTOMA		ASTROCYTOMA
PRIOR_THERAPY_SURGERY_OUTCOME	UNKNOWN	UNKNOWN		UNKNOWN
ON_THERAPY_RADIATION_SITE	PR - PARTIAL RESECTION	PR - PARTIAL RESECTION		PR - PARTIAL RESECTION
ON_THERAPY_RADIATION_SITE	BX - BIOPSY ONLY	BX - BIOPSY ONLY		BX - BIOPSY ONLY
ON_THERAPY_RADIATION_SITE	CR - COMPLETE RESECTION	CR - COMPLETE RESECTION		CR - COMPLETE RESECTION
ON_THERAPY_RADIATION_TYPE	UNKNOWN	UNKNOWN		UNKNOWN
ON_THERAPY_RADIATION_TYPE	PHOTON	PHOTON		PHOTON
ON_THERAPY_RADIATION_TYPE	3D CONFORMAL	3D CONFORMAL		3D CONFORMAL
ON_THERAPY_RADIATION_TYPE	EBRT	EBRT		EBRT
ON_THERAPY_RADIATION_TYPE	EBRT (3D-CRT)	EBRT (3D-CRT)		EBRT (3D-CRT)
ON_THERAPY_RADIATION_TYPE	NONE	NONE		NONE
ON_THERAPY_RADIATION_TYPE	EBRT (L Frontal) + WBRT	EBRT (L Frontal) + WBRT		EBRT (L Frontal) + WBRT
ON_THERAPY_RADIATION_TYPE	3d-CRT	3d-CRT		3d-CRT
ON_THERAPY_RADIATION_TYPE	No	No		No
ON_THERAPY_RADIATION_TYPE	Brachytherapy	Brachytherapy		Brachytherapy
ON_THERAPY_CHEMO_AGENT_NAME	temozolomide	temozolomide		temozolomide
ON_THERAPY_CHEMO_AGENT_NAME	CCNU	CCNU		CCNU
ON_THERAPY_CHEMO_AGENT_NAME	cyclophosphamide	cyclophosphamide		cyclophosphamide
ON_THERAPY_CHEMO_AGENT_NAME	procarbazine	procarbazine		procarbazine
ON_THERAPY_CHEMO_AGENT_NAME	ly317615	ly317615		ly317615
ON_THERAPY_CHEMO_AGENT_NAME	vincristine	vincristine		vincristine
ON_THERAPY_CHEMO_AGENT_NAME	carboplatin	carboplatin		carboplatin
ON_THERAPY_CHEMO_AGENT_NAME	zolendronate	zolendronate		zolendronate
ON_THERAPY_CHEMO_AGENT_NAME	cpt-11	cpt-11		cpt-11
ON_THERAPY_CHEMO_AGENT_NAME	tarceva	tarceva		tarceva
ON_THERAPY_CHEMO_AGENT_NAME	none	none		none
ON_THERAPY_CHEMO_AGENT_NAME	temodal	temodal		temodal
ON_THERAPY_CHEMO_AGENT_NAME	r115777	r115777		r115777
ON_THERAPY_CHEMO_AGENT_NAME	osi-774	osi-774		osi-774
ON_THERAPY_CHEMO_AGENT_NAME	bcnu	bcnu		bcnu
ON_THERAPY_CHEMO_AGENT_NAME	Avastin	Avastin		Avastin
ON_THERAPY_CHEMO_AGENT_NAME	lomustine	lomustine		lomustine
ON_THERAPY_CHEMO_AGENT_NAME	etoposide	etoposide		etoposide
ON_THERAPY_CHEMO_AGENT_NAME	SDX-102	SDX-102		SDX-102
ON_THERAPY_CHEMO_AGENT_NAME	BCNU-Wafer	BCNU-Wafer		BCNU-Wafer
ON_THERAPY_CHEMO_AGENT_NAME	tamoxifen citrate	tamoxifen citrate		tamoxifen citrate
ON_THERAPY_CHEMO_AGENT_NAME	Depsipeptide	Depsipeptide		Depsipeptide
ON_THERAPY_CHEMO_AGENT_NAME	cytotab	cytotab		cytotab
ON_THERAPY_CHEMO_AGENT_NAME	Trans Mid	Trans Mid		Trans Mid
ON_THERAPY_CHEMO_AGENT_NAME	rapamycin	rapamycin		rapamycin
ON_THERAPY_CHEMO_AGENT_NAME	gw572016	gw572016		gw572016
ON_THERAPY_CHEMO_AGENT_NAME	PCV(8)	PCV(8)		PCV(8)
ON_THERAPY_CHEMO_AGENT_NAME	9-AC(2)	9-AC(2)		9-AC(2)
ON_THERAPY_CHEMO_AGENT_NAME	CI-980(2)	CI-980(2)		CI-980(2)
ON_THERAPY_CHEMO_AGENT_NAME	PCV+CCNU; EMD; Temodar; PCV+CCNU(2; 1; 2; 1)	PCV+CCNU; EMD; Temodar; PCV+CCNU(2; 1; 2; 1)		PCV+CCNU; EMD; Temodar; PCV+CCNU(2; 1; 2; 1)
ON_THERAPY_CHEMO_AGENT_NAME	EBRT	EBRT		EBRT
ON_THERAPY_CHEMO_AGENT_NAME	CI-980 (NABTT 96-0)(4)	CI-980 (NABTT 96-0)(4)		CI-980 (NABTT 96-0)(4)
ON_THERAPY_CHEMO_AGENT_NAME	NONE(NONE)	NONE(NONE)		NONE(NONE)
ON_THERAPY_CHEMO_AGENT_NAME	PCV(4)	PCV(4)		PCV(4)
ON_THERAPY_CHEMO_AGENT_NAME	BCNU (2)	BCNU (2)		BCNU (2)
ON_THERAPY_CHEMO_AGENT_NAME	Temozolomide; Bay 43; PCV/CCNU(13	Temozolomide; Bay 43; PCV/CCNU(13		Temozolomide; Bay 43; PCV/CCNU(13
ON_THERAPY_CHEMO_AGENT_NAME	Temozolomide(6)	Temozolomide(6)		Temozolomide(6)
ON_THERAPY_CHEMO_AGENT_NAME	PCV  (6)	PCV  (6)		PCV  (6)
ON_THERAPY_CHEMO_AGENT_NAME	CI-980 (NABTT 96-0)(2)	CI-980 (NABTT 96-0)(2)		CI-980 (NABTT 96-0)(2)
ON_THERAPY_CHEMO_AGENT_NAME	5-FU/Carboplatin/Gamma IFN/Thalidomide/plasmapheresis(4)	5-FU/Carboplatin/Gamma IFN/Thalidomide/plasmapheresis(4)		5-FU/Carboplatin/Gamma IFN/Thalidomide/plasmapheresis(4)
ON_THERAPY_CHEMO_AGENT_NAME	BCNU(6)	BCNU(6)		BCNU(6)
ON_THERAPY_CHEMO_AGENT_NAME	SU-101(6)	SU-101(6)		SU-101(6)
ON_THERAPY_CHEMO_AGENT_NAME	PCV(5)	PCV(5)		PCV(5)
ON_THERAPY_CHEMO_AGENT_NAME	CI-980(4)	CI-980(4)		CI-980(4)
ON_THERAPY_CHEMO_AGENT_NAME	BCNU(1)	BCNU(1)		BCNU(1)
ON_THERAPY_CHEMO_AGENT_NAME	BCNU(2)	BCNU(2)		BCNU(2)
ON_THERAPY_CHEMO_AGENT_NAME	penicillamine/low copper diet(9)	penicillamine/low copper diet(9)		penicillamine/low copper diet(9)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(2)	TMZ(2)		TMZ(2)
ON_THERAPY_CHEMO_AGENT_NAME	ARA-C(5)	ARA-C(5)		ARA-C(5)
ON_THERAPY_CHEMO_AGENT_NAME	PCV + Temozolomide(2 PCV; 5 TMZ)	PCV + Temozolomide(2 PCV; 5 TMZ)		PCV + Temozolomide(2 PCV; 5 TMZ)
ON_THERAPY_CHEMO_AGENT_NAME	Temozolomide(11)	Temozolomide(11)		Temozolomide(11)
ON_THERAPY_CHEMO_AGENT_NAME	Gliadel Wafer(1)	Gliadel Wafer(1)		Gliadel Wafer(1)
ON_THERAPY_CHEMO_AGENT_NAME	Temozolomide(12)	Temozolomide(12)		Temozolomide(12)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(11)	TMZ(11)		TMZ(11)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(8)	TMZ(8)		TMZ(8)
ON_THERAPY_CHEMO_AGENT_NAME	CAI (NABTT-9712)(1)	CAI (NABTT-9712)(1)		CAI (NABTT-9712)(1)
ON_THERAPY_CHEMO_AGENT_NAME	BCNU(4)	BCNU(4)		BCNU(4)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(12)	TMZ(12)		TMZ(12)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(15)	TMZ(15)		TMZ(15)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(3)	TMZ(3)		TMZ(3)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(7)	TMZ(7)		TMZ(7)
ON_THERAPY_CHEMO_AGENT_NAME	Temozolomide(2)	Temozolomide(2)		Temozolomide(2)
ON_THERAPY_CHEMO_AGENT_NAME	oxaliplatin (NABTT-9905)(4)	oxaliplatin (NABTT-9905)(4)		oxaliplatin (NABTT-9905)(4)
ON_THERAPY_CHEMO_AGENT_NAME	NO(NO)	NO(NO)		NO(NO)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ+cRA(4)	TMZ+cRA(4)		TMZ+cRA(4)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(0)	TMZ(0)		TMZ(0)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(1)	TMZ(1)		TMZ(1)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(22)	TMZ(22)		TMZ(22)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(5)	TMZ(5)		TMZ(5)
ON_THERAPY_CHEMO_AGENT_NAME	Temodar(2)	Temodar(2)		Temodar(2)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(13)	TMZ(13)		TMZ(13)
ON_THERAPY_CHEMO_AGENT_NAME	Temodar(6)	Temodar(6)		Temodar(6)
ON_THERAPY_CHEMO_AGENT_NAME	TMZ(4)	TMZ(4)		TMZ(4)
ON_THERAPY_CHEMO_AGENT_NAME	NASS(NASS)	NASS(NASS)		NASS(NASS)
ON_THERAPY_CHEMO_AGENT_NAME	prochlorperazine	prochlorperazine		prochlorperazine
ON_THERAPY_CHEMO_AGENT_NAME	thioguanine	thioguanine		thioguanine
ON_THERAPY_CHEMO_AGENT_NAME	erlotinib	erlotinib		erlotinib
ON_THERAPY_SURGERY_TITLE	CRANIOTOMY OPEN RESECTION	CRANIOTOMY OPEN RESECTION		CRANIOTOMY OPEN RESECTION
ON_THERAPY_SURGERY_TITLE	STEREOTACTIC BIOPSY	STEREOTACTIC BIOPSY		STEREOTACTIC BIOPSY
ON_THERAPY_SURGERY_TITLE	CRANIOTOMY OPEN BIOPSY	CRANIOTOMY OPEN BIOPSY		CRANIOTOMY OPEN BIOPSY
ON_THERAPY_SURGERY_TITLE	NONE	NONE		NONE
ON_THERAPY_SURGERY_TITLE	subtotal x2	subtotal x2		subtotal x2
ON_THERAPY_SURGERY_TITLE	subtotal	subtotal		subtotal
ON_THERAPY_SURGERY_TITLE	subtotal x 2	subtotal x 2		subtotal x 2
ON_THERAPY_SURGERY_TITLE	1)	1)		1)
ON_THERAPY_SURGERY_TITLE	TMZ+Thalidomide(3)	TMZ+Thalidomide(3)		TMZ+Thalidomide(3)
ON_THERAPY_SURGERY_TITLE	gross total	gross total		gross total
ON_THERAPY_SURGERY_TITLE	subtotal x 3	subtotal x 3		subtotal x 3
ON_THERAPY_SURGERY_TITLE	sub total x 2	sub total x 2		sub total x 2
ON_THERAPY_SURGERY_TITLE	NO	NO		NO
ON_THERAPY_SURGERY_TITLE	NASS	NASS		NASS
ON_THERAPY_SURGERY_HIST_DIAG	GLIOBLASTOMA MULTIFORME	GLIOBLASTOMA MULTIFORME		GLIOBLASTOMA MULTIFORME
ON_THERAPY_SURGERY_HIST_DIAG	NEUROBLASTOMA NOS	NEUROBLASTOMA NOS		NEUROBLASTOMA NOS
ON_THERAPY_SURGERY_HIST_DIAG	OLIGOASTROCYTOMA	OLIGOASTROCYTOMA		OLIGOASTROCYTOMA
ON_THERAPY_SURGERY_HIST_DIAG	OTHER-SPECIFY	OTHER-SPECIFY		OTHER-SPECIFY
ON_THERAPY_SURGERY_HIST_DIAG	ANAPLASTIC ASTROCYTOMA	ANAPLASTIC ASTROCYTOMA		ANAPLASTIC ASTROCYTOMA
ON_THERAPY_SURGERY_HIST_DIAG	GLIOMA	GLIOMA		GLIOMA
ON_THERAPY_SURGERY_HIST_DIAG	GANGLIONEUROMA	GANGLIONEUROMA		GANGLIONEUROMA
ON_THERAPY_SURGERY_HIST_DIAG	GLIOBLASTOMA	GLIOBLASTOMA		GLIOBLASTOMA
