TYPE	TERM	TERM_MEANING	EVS_ID	DEFINITION
SAMPLE_TYPE	SEV_ACT_ULCERATIVE_COLITIS	Severe Active Ulcerative Colitis		Severe Active Ulcerative Colitis
SAMPLE_TYPE	SEV_ACT_ULCERATIVE_PANCOLITIS	Severe Active Ulcerative Pancolitis		Severe Active Ulcerative Pancolitis
DYSPLASIA	LOW-GRADE	Low grade		Low grade
DYSPLASIA	HIGH-GRADE	High grade		High grade
DYSPLASIA	NO	No dysplasia		No dysplasia
DYSPLASIA	MILD	Mild 		Mild 
DYSPLASIA	MILD_MODERATE	Mild to Moderate		Mild to Moderate
DUKES_CLASS	A	Dukes A		Dukes A: Invasion into but not through the bowel wall
DUKES_CLASS	B1	Dukes B1		Dukes B: Invasion through the bowel wall but not involving lymph nodes
DUKES_CLASS	B2	Dukes B2		Dukes B: Invasion through the bowel wall but not involving lymph nodes
DUKES_CLASS	B3	Dukes B3		Dukes B: Invasion through the bowel wall but not involving lymph nodes
DUKES_CLASS	C1	Dukes C1		Dukes C: Involvement of lymph nodes
DUKES_CLASS	C2	Dukes C2		Dukes C: Involvement of lymph nodes
DUKES_CLASS	C3	Dukes C3		Dukes C: Involvement of lymph nodes
DUKES_CLASS	D	Dukes D		Dukes D: Widespread/distant metastases
